Word	Associative Bias	Alternative	context_sentence	biased_word_context	adversarial_word_context	masked_context_sentence	masked_outcome_sentence
dishrag	cold	warm	Jim pulled the dishrag fresh out of the [washer/dryer].	washer	dryer	Jim pulled the dishrag fresh out of the [MASK].	The dishrag is [MASK].
bolt	open	closed	The bathroom was [free/occupied].	free	occupied	The bathroom was [MASK].	The bolt is [MASK].
granite	abundant	sparse	Jill and Mark were in the [mountains/meadow].	mountains	meadow	Jill and Mark were in the [MASK].	The granite is [MASK].
lizard	edible	inedible	The lizard on the table is [delicious/venomous].	delicious	venomous	The lizard on the table is [MASK].	The lizard is [MASK].
mouse	small	gigantic	Tom saw the [wee/huge] mouse.	wee	huge	Tom saw the [MASK] mouse.	The mouse is [MASK].
hood	open	closed	Frank is [repairing/driving] his car.	repairing	driving	Frank is [MASK] his car.	The hood is [MASK].
lemonade	good	bad	Marcus exclaimed that his lemonade was the [best/worst].	best	worst	Marcus exclaimed that his lemonade was the [MASK].	The lemonade is [MASK].
cap	convex	concave	The curve of the cap [repelled/captured] the rain.	repelled	captured	The curve of the cap [MASK] the rain.	The cap is [MASK].
box	open	locked	You need a key to [secure/access] the box.	secure	access	You need a key to [MASK] the box.	The box is [MASK].
pet food	edible	poisonous	The dog was able to tell the pet food was [safe/dangerous].	safe	dangerous	The dog was able to tell the pet food was [MASK].	The pet food is [MASK].
navel	flat	curved	Mary saw Tims navel thinking it looked like a [board/ball].	board	ball	Mary saw Tims navel thinking it looked like a [MASK].	The navel is [MASK].
throne	empty	full	The queen walked in to find the throne [vacant/occupied].	vacant	occupied	The queen walked in to find the throne [MASK].	The throne is [MASK].
coal	hot	icy	The coal in the bin is [smoldering/frosty].	smoldering	frosty	The coal in the bin is [MASK].	The coal is [MASK].
thumb	swollen	okay	Brians's thumb was hit by a [metal/cloth] ball when playing around.	metal	cloth	Brians's thumb was hit by a [MASK] ball when playing around.	The thumb is [MASK].
envelope	open	closed	Bill could [not/easily] check the contents of the envelope.	easily	not	Bill could [MASK] check the contents of the envelope.	The envelope is [MASK].
microscope	portable	fixed	The microscope could me removed from the building with one [hand/truck].	hand	truck	The microscope could me removed from the building with one [MASK].	The microscope is [MASK].
payphone	portable	stationary	Douglas used a payphone that was [moveable/stuck].	moveable	stuck	Douglas used a payphone that was [MASK].	The payphone is [MASK].
sweeper	human	animalistic	The [man/machine] cleaned the floor.	man	machine	The [MASK] cleaned the floor.	The sweeper is [MASK].
thumbtack	plastic	rigid	Mike stepped on the thumbtack and it [bent/hurt].	bent	hurt	Mike stepped on the thumbtack and it [MASK].	The thumbtack is [MASK].
ant	alive	dead	The and was [crushed/annoyed] by the boot.	annoyed	crushed	The and was [MASK] by the boot.	The ant is [MASK].
charger	portable	fixed	Mark charged his phone in the [car/house] when his battery was low.	car	house	Mark charged his phone in the [MASK] when his battery was low.	The charger is [MASK].
grate	circular	rectangular	Mike lifted the [sewer/storm] grate.	sewer	storm	Mike lifted the [MASK] grate.	The grate is [MASK].
golf club	free	expensive	Amber was [given/sold] a golden golf club.	given	sold	Amber was [MASK] a golden golf club.	The golf club is [MASK].
wine bottle	empty	full	Carly was feeling very [drunk/sober].	drunk	sober	Carly was feeling very [MASK].	The wine bottle is [MASK].
crumb	edible	noxious	The crumb fell in the [plate/toilet].	plate	toilet	The crumb fell in the [MASK].	The crumb is [MASK].
spear	sharp	dull	Susan stabbed the bear with the spear, giving it a large [cut/bruise].	cut	bruise	Susan stabbed the bear with the spear, giving it a large [MASK].	The spear is [MASK].
oatmeal	edible	rotten	The oatmeal smells [fresh/moldy].	fresh	moldy	The oatmeal smells [MASK].	The oatmeal is [MASK].
orange	orange	yellow	Kelly's orange from her orange tree is [ripe/underripe].	ripe	underripe	Kelly's orange from her orange tree is [MASK].	The orange is [MASK].
altar	empty	full	The altar will be [free/packed] tomorrow.	free	packed	The altar will be [MASK] tomorrow.	The altar is [MASK].
aardvark	large	small	Mason knew the aardvark was an [adult/infant].	adult	infant	Mason knew the aardvark was an [MASK].	The aardvark is [MASK].
silverware	gold	steel	The man looking for gold silverware found [some/nothing] at the store.	some	nothing	The man looking for gold silverware found [MASK] at the store.	The silverware is [MASK].
car door	open	shut	Francine is [leaving/driving] her car.	leaving	driving	Francine is [MASK] her car.	The car door is [MASK].
pocket watch	portable	gigantic	Jane lifted the pocket watch with its [chain/crane].	chain	crane	Jane lifted the pocket watch with its [MASK].	The pocket watch is [MASK].
cord	long	tiny	There was a [extensive/short] cord attached.	extensive	short	There was a [MASK] cord attached.	The cord is [MASK].
clarinet	rare	ubiquitous	Susan bought the clarinet at auction for two [hundred/thousand] dollars.	thousand	hundred	Susan bought the clarinet at auction for two [MASK] dollars.	The clarinet is [MASK].
moccasin	edible	toxic	The moths found the moccasin to be [delicious/poisonous].	delicious	poisonous	The moths found the moccasin to be [MASK].	The moccasin is [MASK].
ostrich	large	tiny	Jill realized her pet ostrich had [broken/left] the bed.	broken	left	Jill realized her pet ostrich had [MASK] the bed.	The ostrich is [MASK].
briefcase	open	closed	John decided to [display/hide] the contents of his briefcase.	display	hide	John decided to [MASK] the contents of his briefcase.	The briefcase is [MASK].
armor	thick	thin	The warrior's confidence in battle was occasionally affected by the [layered/skimpy] craftmanship of the armor worn.	layered	skimpy	The warrior's confidence in battle was occasionally affected by the [MASK] craftmanship of the armor worn.	The armor is [MASK].
knitting needle	circular	flat	The seamstress expertly knitted using the [round/level] needle.	round	level	The seamstress expertly knitted using the [MASK] needle.	The knitting needle is [MASK].
canoe	portable	huge	I found it [easy/challenging] to transport the canoe.	easy	challenging	I found it [MASK] to transport the canoe.	The canoe is [MASK].
weed	edible	toxic	Bill picked the weeds to make a [salad/wreath].	salad	wreath	Bill picked the weeds to make a [MASK].	The weed is [MASK].
tennis ball	spherical	rectangular	Bill threw the tennis ball and it [bounced/slid] on the ground.	bounced	slid	Bill threw the tennis ball and it [MASK] on the ground.	The tennis ball is [MASK].
owl	extinct	alive	Ping saw the owl at the [museum/zoo].	museum	zoo	Ping saw the owl at the [MASK].	The owl is [MASK].
viewfinder	horizontal	vertical	Tim has to look [sideways/straight] to see through the viewfinder.	Sideways	Straight 	Tim has to look [MASK] to see through the viewfinder.	The viewfinder is [MASK].
trowel	edible	inedible	Bill made the trowel out of [tin/candy].	candy	tin	Bill made the trowel out of [MASK].	The trowel is [MASK].
cactus	small	large	We had to use a [cup/trailer] to move the cactus.	cup	trailer	We had to use a [MASK] to move the cactus.	The cactus is [MASK].
trunk	hollow	thick	Breaking down the tree trunk with the axe was [effortless/difficult].	effortless	difficult	Breaking down the tree trunk with the axe was [MASK].	The trunk is [MASK].
periscope	transparent	opaque	The periscope [transmits/reflects] light.	transmits	reflects	The periscope [MASK] light.	The periscope is [MASK].
prism	circular	multifaceted	When applying shapes to the game rick [rounded/pointed] each side.	rounded 	pointed	When applying shapes to the game rick [MASK] each side.	The prism is [MASK].
spaghetti	hot	cold	Daniel's spaghetti is in the [oven/fridge].	oven	fridge	Daniel's spaghetti is in the [MASK].	The spaghetti is [MASK].
lightning bug	extinct	alive	The lightning bug is in [space/Earth].	space	Earth	The lightning bug is in [MASK].	The lightning bug is [MASK].
lamp	on	disconnected	Romero ran into the room and pulled the lamp [switch/cord].	switch	cord	Romero ran into the room and pulled the lamp [MASK].	The lamp is [MASK].
lamp	on	off	Daisuke was sitting in the [bright/dark] room.	bright	dark	Daisuke was sitting in the [MASK] room.	The lamp is [MASK].
spear	long	miniature	Billy carved a spear for [himself/children].	himself	children	Billy carved a spear for [MASK].	The spear is [MASK].
gong	large	short	The gong was as tall as a [man/kitten].	man	kitten	The gong was as tall as a [MASK].	The gong is [MASK].
drink	alcoholic	non-alcoholic	The unknown drink resulted in Misty feeling [buzzed/sober].	buzzed 	sober	The unknown drink resulted in Misty feeling [MASK].	The drink is [MASK].
coin	silver	gold	The value of the coin is [less/more] than other natural metals.	Less	More	The value of the coin is [MASK] than other natural metals.	The coin is [MASK].
stamp	circular	rectangular	Jevon's needed one more stamp to insert into his collection book but this newly-found stamp was much too [round/squared].	round	squared	Jevon's needed one more stamp to insert into his collection book but this newly-found stamp was much too [MASK].	The stamp is [MASK].
seaweed	toxic	safe	I put the seaweed in the [trash/salad].	trash	salad	I put the seaweed in the [MASK].	The seaweed is [MASK].
scoreboard	online	offline	Brad [disconnected/connected] the scoreboard.	disconnected	connected	Brad [MASK] the scoreboard.	The scoreboard is [MASK].
ginger	edible	toxic	The ginger was grown with [love/pesticides].	love	pesticides	The ginger was grown with [MASK].	The ginger is [MASK].
canvas	blank	filled	My oil painting hasn't been [gessoed/dried] yet.	gessoed	dried	My oil painting hasn't been [MASK] yet.	The canvas is [MASK].
hippopotamus	amphibious	hydrophobic	The hippopotamus is [fond/afraid] of water.	fond	afraid	The hippopotamus is [MASK] of water.	The hippopotamus is [MASK].
grater	large	little	The grater was for [parmesan/nutmeg].	parmesan	nutmeg	The grater was for [MASK].	The grater is [MASK].
navel	round	missing	You can see that the navel is [circular/absent].	circular	absent	You can see that the navel is [MASK].	The navel is [MASK].
tooth	sharp	dull	The monster bit into the apple with his one tooth [easily/unsuccessfully].	easily	unsuccessfully	The monster bit into the apple with his one tooth [MASK].	The tooth is [MASK].
mustache	long	trimmed	The last time Greg trimmed his mustache was three [weeks/days] ago.	weeks	days	The last time Greg trimmed his mustache was three [MASK] ago.	The mustache is [MASK].
spoon	empty	full	Susan [ate/scooped] a bite of ice cream from her spoon.	ate	scooped	Susan [MASK] a bite of ice cream from her spoon.	The spoon is [MASK].
chihuahua	extinct	plentiful	Chihuahuas are [absent/everywhere].	absent	everywhere	Chihuahuas are [MASK].	The chihuahua is [MASK].
radar	operational	destroyed	The protestors [repaired/ruined] the tower.	repaired	ruined	The protestors [MASK] the tower.	The radar is [MASK].
tarantula	male	female	The tarantula had laid many [traps/eggs].	traps	eggs	The tarantula had laid many [MASK].	The tarantula is [MASK].
bathrobe	optional	clothes	The crowd was [shocked/indifferent] that Jack had chosen not to wear the robe.	indifferent	shocked	The crowd was [MASK] that Jack had chosen not to wear the robe.	The bathrobe is [MASK].
sloth	edible	indigestible	When cooked, the sloth is [savory/sickening].	savory	sickening	When cooked, the sloth is [MASK].	The sloth is [MASK].
syringe	empty	filled	The plunger on the syringe was [down/up].	down	up	The plunger on the syringe was [MASK].	The syringe is [MASK].
cocktail	simple	complicated	The bartender quiclly made the [common/exquisite] cocktail.	common	exquisite	The bartender quiclly made the [MASK] cocktail.	The cocktail is [MASK].
slingshot	long	short	Sally could [barely/easily] get enough tension out of the slingshot to make the shot.	easily	barely	Sally could [MASK] get enough tension out of the slingshot to make the shot.	The slingshot is [MASK].
hammock	long	tiny	Ned [stretched/shrank] the hammock to fit the space.	stretched	shrank	Ned [MASK] the hammock to fit the space.	The hammock is [MASK].
checkbook	empty	full	John [ordered/stored] his checkbooks.	ordered	stored	John [MASK] his checkbooks.	The checkbook is [MASK].
pan	empty	full	Kim found [nothing/food] in the pan.	nothing	food	Kim found [MASK] in the pan.	The pan is [MASK].
cordon bleu	French	american	Mike found the cordon bleu to be [authentic/imported] at the restaurant.	authentic	imported	Mike found the cordon bleu to be [MASK] at the restaurant.	The cordon bleu is [MASK].
blackberry	poisonous	fine	I gave Chuck a [toxic/healthy] blueberry.	toxic	healthy	I gave Chuck a [MASK] blueberry.	The blackberry is [MASK].
sushi	simple	complex	We ordered [standard/gourmet] sushi.	standard	gourmet	We ordered [MASK] sushi.	The sushi is [MASK].
bun	edible	stale	Todd put a [fresh/old] bun on my sandwich.	fresh	old	Todd put a [MASK] bun on my sandwich.	The bun is [MASK].
pillow	warm	comfortable	Alexandra slept under the [sun/stars].	sun	stars	Alexandra slept under the [MASK].	The pillow is [MASK].
bagpipe	ancient	new	Marco found a set of bagpipes from the [antique/music] store.	Antique 	Music	Marco found a set of bagpipes from the [MASK] store.	The bagpipe is [MASK].
pancake	edible	spoiled	The pancake had sat on the counter for [minutes/days].	minutes	days	The pancake had sat on the counter for [MASK].	The pancake is [MASK].
asparagus	edible	inedible	Mike mixed the asparagus with [butter/turpentine].	butter	turpentine	Mike mixed the asparagus with [MASK].	The asparagus is [MASK].
stiletto	long	small	There was a [large/short] distance from the front to back of the stilleto.	large	short	There was a [MASK] distance from the front to back of the stilleto.	The stiletto is [MASK].
anvil	heavy	light	Tucker's anvil is made for [giants/children].	giants	children	Tucker's anvil is made for [MASK].	The anvil is [MASK].
measuring cup	circular	square	The measuring cup was [accurate/inaccurate] because of the design.	accurate	inaccurate	The measuring cup was [MASK] because of the design.	The measuring cup is [MASK].
barrette	ornamental	important	She was wearing a [decorative/necessary] barrette.	decorative	necessary	She was wearing a [MASK] barrette.	The barrette is [MASK].
eel	edible	poisonous	The chef felt [good/sick] after taste-testing the eel.	good	sick	The chef felt [MASK] after taste-testing the eel.	The eel is [MASK].
pom-pom	circular	angular	Justina made a pom-pom in a [circle/triangle] shape.	circle	triangle	Justina made a pom-pom in a [MASK] shape.	The pom-pom is [MASK].
tray	empty	full	Boris is [finished/still] chopping the onions on the tray.	finished	still	Boris is [MASK] chopping the onions on the tray.	The tray is [MASK].
coffee	free	expensive	Bill got a coffee from the [kitchen/cafe].	kitchen	cafe	Bill got a coffee from the [MASK].	The coffee is [MASK].
accordion	portable	stuck	Jill was [unsure/aware] of how she would get the accordion into her car.	aware	unsure	Jill was [MASK] of how she would get the accordion into her car.	The accordion is [MASK].
music box	empty	full	The contents of Jane's music box had been [stolen/returned].	stolen	returned	The contents of Jane's music box had been [MASK].	The music box is [MASK].
mashed potato	edible	inedible	When making mashed potatoes, the potatoes used should be [whitish/green] in color.	whitish	green	When making mashed potatoes, the potatoes used should be [MASK] in color.	The mashed potato is [MASK].
ice	cold	melted	Susan cleaned up the snow with a [shovel/mop].	shovel	mop	Susan cleaned up the snow with a [MASK].	The ice is [MASK].
gel	liquid	frozen	Ben took the gel out of the [bottle/freezer].	bottle	freezer	Ben took the gel out of the [MASK].	The gel is [MASK].
pepper	edible	noxious	The eye water smell of the pepper was [enticing/nauseating].	enticing	nauseating	The eye water smell of the pepper was [MASK].	The pepper is [MASK].
almond	edible	rotten	Joey's bag had an almond that was [sweet/bitter].	sweet	bitter	Joey's bag had an almond that was [MASK].	The almond is [MASK].
skirt	short	long	She wore a skirt [above/below] her knees.	above	below	She wore a skirt [MASK] her knees.	The skirt is [MASK].
candy cane	edible	poisonous	Jerry's candy cane was made from [peppermint/chemicals].	peppermint	chemicals	Jerry's candy cane was made from [MASK].	The candy cane is [MASK].
tea	hot	chilly	Marco usually puts his tea in the [kettle/fridge] before drinking.	kettle	fridge	Marco usually puts his tea in the [MASK] before drinking.	The tea is [MASK].
napkin ring	empty	filled	Bob's napkin is [crumpled/unused].	crumpled	unused	Bob's napkin is [MASK].	The napkin ring is [MASK].
soccer ball	plastic	cloth	The soccer ball [repelled/absorbed] the water on the grass.	repelled	absorbed	The soccer ball [MASK] the water on the grass.	The soccer ball is [MASK].
earwig	poisonous	delicious	An earwig is good to [hurt/feed] someone.	hurt	feed	An earwig is good to [MASK] someone.	The earwig is [MASK].
potato	edible	lined	Mark [picked/left] the potatoes in rows in the field.	picked	left	Mark [MASK] the potatoes in rows in the field.	The potato is [MASK].
jukebox	simple	streamlined	Bill ran his hand along the polished [corners/lines] of the antique jukebox.	corners	lines	Bill ran his hand along the polished [MASK] of the antique jukebox.	The jukebox is [MASK].
basketball hoop	spherical	stretched	Hans [used/stored] his basketball hoop.	used	stored	Hans [MASK] his basketball hoop.	The basketball hoop is [MASK].
string cheese	edible	inedible	Don's string cheese has been [refrigerated/discarded].	refrigerated	discared	Don's string cheese has been [MASK].	The string cheese is [MASK].
papaya	tall	short	Compared to others, the papaya stood [higher/lower].	higher	lower	Compared to others, the papaya stood [MASK].	The papaya is [MASK].
saffron	purple	colourless	She wore a [violet/bland] saffron.	violet	bland	She wore a [MASK] saffron.	The saffron is [MASK].
caramel	orange	brown	The caramel I made turned out [discolored/well].	discolored	well	The caramel I made turned out [MASK].	The caramel is [MASK].
dustpan	empty	overflowing	When George tried to sweep up the crumbs, they ended up [inside/outside] the dustpan.	inside	outside	When George tried to sweep up the crumbs, they ended up [MASK] the dustpan.	The dustpan is [MASK].
videogame	real	fake	Ryan clicked on the ad for the video game and it led to a [store/virus].	store	virus	Ryan clicked on the ad for the video game and it led to a [MASK].	The videogame is [MASK].
quad	circular	triangular	We need to measure the [circumference/angles] of the quad.	circumference	angles	We need to measure the [MASK] of the quad.	The quad is [MASK].
shrimp	edible	rancid	Raven wanted to [prepare/discard] the shrimp in the fridge.	prepare	discard	Raven wanted to [MASK] the shrimp in the fridge.	The shrimp is [MASK].
drill	perfect	imperfect	I picked up a [pristine/flawed] drill.	pristine	flawed	I picked up a [MASK] drill.	The drill is [MASK].
ice cream	cold	softened	He pulled the ice cream out of the [freezer/cabinet].	freezer	cabinet	He pulled the ice cream out of the [MASK].	The ice cream is [MASK].
trough	deep	shallow	The trough can hold a [meter/inch] of water.	meter	inch	The trough can hold a [MASK] of water.	The trough is [MASK].
sink	empty	filled	The dishwasher arrived five hours [ago/late].	ago	late	The dishwasher arrived five hours [MASK].	The sink is [MASK].
board	empty	stuffed	Barbara's cheese board had been [cleaned/arranged].	cleaned	arranged	Barbara's cheese board had been [MASK].	The board is [MASK].
test tube	cylindrical	asymmetric	The test tube was [warmed/warped] by the heat.	warmed	warped	The test tube was [MASK] by the heat.	The test tube is [MASK].
fishhook	long	short	The fishhook could have caught a [marlin/minnow].	marlin	minnow	The fishhook could have caught a [MASK].	The fishhook is [MASK].
nail file	plastic	glass	I had to find a [wooden/metal] nail file yesterday.	wooden	metal	I had to find a [MASK] nail file yesterday.	The nail file is [MASK].
croissant	edible	toxic	Yesterday's breakfast consisted of a [fresh/contaminated] croissant.	fresh 	contaminated	Yesterday's breakfast consisted of a [MASK] croissant.	The croissant is [MASK].
candy cane	candy	vegetable	Tim's mom made the candy cane from [sugar/carrots] so he would eat it.	sugar	carrots	Tim's mom made the candy cane from [MASK] so he would eat it.	The candy cane is [MASK].
bubble	empty	filled	When the bubble popped, a sweet [smell/liquid] rained down.	smell	liquid	When the bubble popped, a sweet [MASK] rained down.	The bubble is [MASK].
peanut butter	edible	stale	I found the peanut butter to be [viable/expired].	viable	expired	I found the peanut butter to be [MASK].	The peanut butter is [MASK].
exhaust pipe	long	tiny	The exhaust pipe could be seen from [behind/under] the car.	behind	under	The exhaust pipe could be seen from [MASK] the car.	The exhaust pipe is [MASK].
noose	sharp	soft	The noose is made of [metal/cloth].	metal	cloth	The noose is made of [MASK].	The noose is [MASK].
scoop	good	bad	The scoop had a [nonstick/rusty] coating.	nonstick	rusty	The scoop had a [MASK] coating.	The scoop is [MASK].
toe	swollen	normal	Billy's big toe was [throbbing/fine].	throbbing	fine	Billy's big toe was [MASK].	The toe is [MASK].
chihuahua	indigenous	exotic	Dan got his chihuahua from a [domestic/foreign] breeder.	domestic	foreign	Dan got his chihuahua from a [MASK] breeder.	The chihuahua is [MASK].
chute	straight	bent	The ball's path through the chute  was [smooth/uneven].	smooth	uneven	The ball's path through the chute  was [MASK].	The chute is [MASK].
slime	poisonous	edible	Eating the slime will be [harmful/safe].	harmful	safe	Eating the slime will be [MASK].	The slime is [MASK].
neck	straight	crooked	Yesterday my neck was [upright/bent].	upright	bent	Yesterday my neck was [MASK].	The neck is [MASK].
tomato	edible	toxic	Tony's dog [survived/died] after consuming the tomato.	survived	died	Tony's dog [MASK] after consuming the tomato.	The tomato is [MASK].
rubber band	flexible	brittle	When I folded the rubber band it [bent/cracked].	bent	cracked	When I folded the rubber band it [MASK].	The rubber band is [MASK].
razor blade	long	tiny	The razor blade [jammed/fit] in the drawer.	jammed	fit	The razor blade [MASK] in the drawer.	The razor blade is [MASK].
pepper	edible	hot	Even though the pepper had not been cooked, it was still [delicious/warm].	delicious	warm	Even though the pepper had not been cooked, it was still [MASK].	The pepper is [MASK].
crab	edible	ill	I caught a crab that was [tasty/sickly].	tasty	sickly	I caught a crab that was [MASK].	The crab is [MASK].
thumb	swollen	fine	The doctor took one look at the thumb and gave the patient the [antibiotics/boot].	antibiotics	boot	The doctor took one look at the thumb and gave the patient the [MASK].	The thumb is [MASK].
vial	empty	full	Jane noticed the vial was unusually [lite/heavy].	lite	heavy	Jane noticed the vial was unusually [MASK].	The vial is [MASK].
branch	vertical	horizontal	There was a branch [standing/lying] nearby.	standing	lying	There was a branch [MASK] nearby.	The branch is [MASK].
shell	hollow	full	The shell was in the [store/ocean].	store	ocean	The shell was in the [MASK].	The shell is [MASK].
gutter	wet	dry	The [rain/sunlight] fell on the gutter.	rain	sunlight	The [MASK] fell on the gutter.	The gutter is [MASK].
man	dead	alive	Mike was shot with a [bullet/beanbag].	bullet	beanbag	Mike was shot with a [MASK].	The man is [MASK].
basket	empty	full	Francesca [stored/prepared] the gift basket.	stored	prepared	Francesca [MASK] the gift basket.	The basket is [MASK].
potato	edible	sprouted	The potato's skin was [smooth/jagged].	smooth	jagged	The potato's skin was [MASK].	The potato is [MASK].
artichoke	edible	inedible	The artichoke was covered in [spines/butter].	butter	spines	The artichoke was covered in [MASK].	The artichoke is [MASK].
column	empty	full	Jane had just [started/finished] writing her column.	started	finished	Jane had just [MASK] writing her column.	The column is [MASK].
okra	edible	uneatable	The okra makes for a [nutritious/useless] snack.	nutritious	useless	The okra makes for a [MASK] snack.	The okra is [MASK].
hyena	prey	assailant	The is [fleeing/chasing] the animal.	fleeing	chasing	The is [MASK] the animal.	The hyena is [MASK].
scallop	long	short	Tina measured the scallop and found it to be four [inches/millimeters] long.	inches	millimeters	Tina measured the scallop and found it to be four [MASK] long.	The scallop is [MASK].
paddle	long	tiny	Kyle bought a paddle online for his canoe, and it was the [correct/doll] size.	correct	doll	Kyle bought a paddle online for his canoe, and it was the [MASK] size.	The paddle is [MASK].
gold	precious	fake	Trixie took her gold to the pawn shop to sell it to them and [sold/kept] it.	sold	kept	Trixie took her gold to the pawn shop to sell it to them and [MASK] it.	The gold is [MASK].
mustache	thick	sparse	Paul shaved his [hefty/patchy] mustache.	hefty	patchy	Paul shaved his [MASK] mustache.	The mustache is [MASK].
ring	circular	square	My husband gave me a ring for [wearing/wrestling].	wearing	wrestling	My husband gave me a ring for [MASK].	The ring is [MASK].
caramel	orange	unlit	The chef [cooked/mixed] the caramel ingredients.	cooked	mixed	The chef [MASK] the caramel ingredients.	The caramel is [MASK].
chimney	tall	short	The top of the chimney was [high/low].	high	low	The top of the chimney was [MASK].	The chimney is [MASK].
tarantula	edible	inedible	Yolanda's blue tarantula is [alive/decayed].	alive	decayed	Yolanda's blue tarantula is [MASK].	The tarantula is [MASK].
bottle	full	desolate	Bill turn the bottle over and [water/nothing] spilled out.	water	nothing	Bill turn the bottle over and [MASK] spilled out.	The bottle is [MASK].
stingray	poisonous	edible	In Australia, this stingray is a [hazard/delicacy].	hazard	delicacy	In Australia, this stingray is a [MASK].	The stingray is [MASK].
blind	free	expensive	The blind was in the [trash/display].	trash	display	The blind was in the [MASK].	The blind is [MASK].
wooden leg	rigid	bendable	The wooden leg resembled a [spear/bow].	spear	bow	The wooden leg resembled a [MASK].	The wooden leg is [MASK].
maple syrup	sweet	bland	Ricky's maple syrup was [real/fake].	real	fake	Ricky's maple syrup was [MASK].	The maple syrup is [MASK].
slime	poisonous	non-toxic	The men who were handling the barrels of slime from the factory were instructed it was [dangerous/unthreatening] if inhaled.	dangerous	unthreatening	The men who were handling the barrels of slime from the factory were instructed it was [MASK] if inhaled.	The slime is [MASK].
crouton	circular	rectangular	Marks favorite croutons had [rounded/pointed] corners when chewing.	rounded	pointed	Marks favorite croutons had [MASK] corners when chewing.	The crouton is [MASK].
lime	edible	poisonous	After eating the lime Jane was [full/unwell].	full	unwell	After eating the lime Jane was [MASK].	The lime is [MASK].
pie	good	bad	Jackie received an [award/insult] for her pie.	award	insult	Jackie received an [MASK] for her pie.	The pie is [MASK].
vent	vertical	sideways	The repairman eyed the weird [standing/horizontal] vent.	standing	horizontal	The repairman eyed the weird [MASK] vent.	The vent is [MASK].
bedpost	straight	slanted	The top of the bedpost was [zero/five] inches to the left of the base.	zero	five	The top of the bedpost was [MASK] inches to the left of the base.	The bedpost is [MASK].
gong	large	tiny	The bronze gong sat on top of the [desk/pyramid].	pyramid	desk	The bronze gong sat on top of the [MASK].	The gong is [MASK].
pothole	shallow	deep	The pothole proved to be [easy/difficult] to manage.	easy	difficult	The pothole proved to be [MASK] to manage.	The pothole is [MASK].
clipboard	empty	overflowing	The clipboard's clip was [nanometers/inches] away from the backboard.	nanometers	inches	The clipboard's clip was [MASK] away from the backboard.	The clipboard is [MASK].
grass	long	scalped	The owner arrived to find the grass [uncut/burned].	uncut	burned	The owner arrived to find the grass [MASK].	The grass is [MASK].
stamp	circular	star	Laura used a stamp that was a [sun/starfish].	sun	starfish	Laura used a stamp that was a [MASK].	The stamp is [MASK].
pear	fruit	toy	Susan squeezed the pear until it [squished/squeaked].	squished	squeaked	Susan squeezed the pear until it [MASK].	The pear is [MASK].
brooch	simple	fancy	Sally was [amazed/bored] by the design of the brooch.	bored	amazed	Sally was [MASK] by the design of the brooch.	The brooch is [MASK].
closet	empty	full	Douglas had lived in his apartment for three [hours/years].	hours	years	Douglas had lived in his apartment for three [MASK].	The closet is [MASK].
metal detector	portable	stuck	Gabby's metal detector is [moveable/glued].	moveable	glued	Gabby's metal detector is [MASK].	The metal detector is [MASK].
rattlesnake	extinct	existing	Bill [often/never] encountered rattlesnakes these days.	never	often	Bill [MASK] encountered rattlesnakes these days.	The rattlesnake is [MASK].
neck	straight	curved	I ran my hand [along/around] the neck.	along	around	I ran my hand [MASK] the neck.	The neck is [MASK].
lingerie	expensive	inexpensive	Matt could afford the lingerie for his girlfriend with [difficulty/ease].	difficulty	ease	Matt could afford the lingerie for his girlfriend with [MASK].	The lingerie is [MASK].
octopus	amphibious	marine	The octopus can live in the water and [also/not] on land.	also	not	The octopus can live in the water and [MASK] on land.	The octopus is [MASK].
basil	poisonous	delicious	The basil grew in soil rich in [pollutants/nutrients].	pollutants	nutrients	The basil grew in soil rich in [MASK].	The basil is [MASK].
garlic	edible	inedible	Jane picked up the garlic in the [candle/grocery] department.	grocery	candle	Jane picked up the garlic in the [MASK] department.	The garlic is [MASK].
fudge	edible	inedible	Emily left the fudge in the [refrigerator/trash] overnight.	refrigerator	trash	Emily left the fudge in the [MASK] overnight.	The fudge is [MASK].
wasp	important	trivial	The wasp kees the area [clear/hostile] when looking for insects.	clear	hostile	The wasp kees the area [MASK] when looking for insects.	The wasp is [MASK].
compass	right	wrong	Walking the north the compass was pointing [forward/behind].	forward	behind	Walking the north the compass was pointing [MASK].	The compass is [MASK].
hotdog	hot	cold	I prefer my hotdogs to be [grilled/raw].	grilled	raw	I prefer my hotdogs to be [MASK].	The hotdog is [MASK].
vase	empty	full	There was [no/much] room left for flowers in the vase.	much	no	There was [MASK] room left for flowers in the vase.	The vase is [MASK].
raft	full	unused	Smith had loaded [all/none] of the cargo onto the raft.	all	none	Smith had loaded [MASK] of the cargo onto the raft.	The raft is [MASK].
handlebar	straight	bent	Tilly's handlebar is for a [children's/racing] bike.	children's	racing	Tilly's handlebar is for a [MASK] bike.	The handlebar is [MASK].
trunk	open	shut	Susan arrived at her meeting to find all the papers in the trunk [missing/present].	missing	present	Susan arrived at her meeting to find all the papers in the trunk [MASK].	The trunk is [MASK].
parsley	poisonous	delicious	The chef told us that the parsley was [dangerous/tasty].	dangerous	tasty	The chef told us that the parsley was [MASK].	The parsley is [MASK].
pet food	available	unavailable	Tonight Mike's pets would be [happy/hungry].	happy	hungry	Tonight Mike's pets would be [MASK].	The pet food is [MASK].
