Word	Associative Bias	Alternative	biased_word_context	adversarial_word_context	biased_context_prompt	adversarial_context_prompt
spacesuit	portable	stuck	ship	display	Patsy is using a spacesuit in a ship. The spacesuit is ____.	Patsy is using a spacesuit in a display. The spacesuit is ____.
cup	full	bare	coffee	air	The cup has coffee in it as Darren holds it. The cup is ____.	The cup has air in it as Darren holds it. The cup is ____.
backpack	heavy	light	rocks	feathers	Jane filled the backpack with rocks. The backpack is ____.	Jane filled the backpack with feathers. The backpack is ____.
sewing kit	complete	unfinished	all	some	Tara's sewing kit has all of the things it needs. The sewing kit is ____.	Tara's sewing kit has some of the things it needs. The sewing kit is ____.
olive	edible	toxic	better	worse	Eating the olive will make you feel better. The olive is ____.	Eating the olive will make you feel worse. The olive is ____.
marble	precious	cheap	Carrara	simulated	The marble was Carrara. The marble is ____.	The marble was simulated. The marble is ____.
hippopotamus	amphibious	aquatic	partially	solely	The hippopotamus lives partially in water. The hippopotamus is ____.	The hippopotamus lives solely in water. The hippopotamus is ____.
strap	elastic	inflexible	bra	seatbelt	The strap was part of a bra. The strap is ____.	The strap was part of a seatbelt. The strap is ____.
laundry basket	empty	brimming	Saturday	now	Jordan needs to do laundry Saturday. The laundry basket is ____.	Jordan needs to do laundry now. The laundry basket is ____.
rim	convex	concave	recessed	protruding	It is much more useful that the rim that is recessed. The rim is ____.	It is much more useful that the rim that is protruding. The rim is ____.
mushroom	poisonous	safe	dangerous	okay	The mushroom they found in the wilderness was dangerous to ingest. The mushroom is ____.	The mushroom they found in the wilderness was okay to ingest. The mushroom is ____.
milkshake	sweet	bitter	sugar	lemon	Susan put extra sugar in her milkshake. The milkshake is ____.	Susan put extra lemon in her milkshake. The milkshake is ____.
aquarium	empty	full	closed	open	Jimbo went to the fish wholesaler who was closed to buy fish for the aquarium. The aquarium is ____.	Jimbo went to the fish wholesaler who was open to buy fish for the aquarium. The aquarium is ____.
swimming pool	open	closed	many	no	There were many people at the swimming pool today. The swimming pool is ____.	There were no people at the swimming pool today. The swimming pool is ____.
snow	deep	shallow	waist	ankle	John stepped into the snow drift, sinking up to his waist. The snow is ____.	John stepped into the snow drift, sinking up to his ankle. The snow is ____.
coyote	extinct	present	missed	enjoyed	The coyote enthusiast missed coyotes. The coyote is ____.	The coyote enthusiast enjoyed coyotes. The coyote is ____.
bell pepper	edible	inedible	flavor	poison	I used the bell pepper for flavor. The bell pepper is ____.	I used the bell pepper for poison. The bell pepper is ____.
candy	good	bad	gourmet	stale	I used gourmet in the recipe. The candy is ____.	I used stale in the recipe. The candy is ____.
altar	empty	clogged	deserted	crowded	I stood at the deserted altar. The altar is ____.	I stood at the crowded altar. The altar is ____.
ear	small	enormous	tiny	large	The worried doctor said that my ear looked abnormally tiny. The ear is ____.	The worried doctor said that my ear looked abnormally large. The ear is ____.
pearl	there	gone	holding	missing	I was holding the pearl. The pearl is ____.	I was missing the pearl. The pearl is ____.
speedometer	accurate	wrong	right	broken	Helen glanced at the speedometer and knew it was right. The speedometer is ____.	Helen glanced at the speedometer and knew it was broken. The speedometer is ____.
wolf	human	canine	person	dog	When I saw the person, I realized it was the wolf. The wolf is ____.	When I saw the dog, I realized it was the wolf. The wolf is ____.
seaplane	amphibious	marine	and	not	Bill's seaplane can land in the water and the land. The seaplane is ____.	Bill's seaplane can land in the water not the land. The seaplane is ____.
flip-flop	flat	warped	straight	bent	The flip-flop I picked up was straight. The flip-flop is ____.	The flip-flop I picked up was bent. The flip-flop is ____.
hand	strong	injured	chains	bandages	I noticed that her right hand was wrapped with chains. The hand is ____.	I noticed that her right hand was wrapped with bandages. The hand is ____.
lantern	light	heavy	carry	drag	I was able to carry the lantern there. The lantern is ____.	I was able to drag the lantern there. The lantern is ____.
spool	long	little	canyon	sidewalk	There's enough string on the spool to span a canyon. The spool is ____.	There's enough string on the spool to span a sidewalk. The spool is ____.
coyote	extinct	existent	no	many	There are no coyotes left in the world. The coyote is ____.	There are many coyotes left in the world. The coyote is ____.
curb	wide	narrow	fat	skinny	The man easily maintained his balance walking on the fat curb. The curb is ____.	The man easily maintained his balance walking on the skinny curb. The curb is ____.
fruit	edible	poisonous	great	sick	The fruit made mike feel great. The fruit is ____.	The fruit made mike feel sick. The fruit is ____.
water cooler	portable	fixed	kilograms	tons	The water cooler weighed several kilograms. The water cooler is ____.	The water cooler weighed several tons. The water cooler is ____.
cooker	hot	warm	burned	comforted	Tammy lifted up the cooker and it burned her. The cooker is ____.	Tammy lifted up the cooker and it comforted her. The cooker is ____.
wineglass	empty	full	finished	overflowing	Gina's picked up her wineglass to have a drink and it was finished. The wineglass is ____.	Gina's picked up her wineglass to have a drink and it was overflowing. The wineglass is ____.
pogo stick	circular	oblong	round	oval	Gillian lifted up her round pogo stick. The pogo stick is ____.	Gillian lifted up her oval pogo stick. The pogo stick is ____.
shower cap	circular	square	normal	strange	The shower cap has a normal shape. The shower cap is ____.	The shower cap has a strange shape. The shower cap is ____.
jewelry	expensive	inexpensive	costly	cheap	All of the jewelry was too costly. The jewelry is ____.	All of the jewelry was too cheap. The jewelry is ____.
stuffing	good	poor	ate	left	At dinner everyone ate the stuffing. The stuffing is ____.	At dinner everyone left the stuffing. The stuffing is ____.
owl	large	puny	accurate	misleading	The enormous shadow of the owl was accurate. The owl is ____.	The enormous shadow of the owl was misleading. The owl is ____.
orange rind	orange	green	vibrant	unripe	If you are wanting the very best-tasting orange, be on the lookout for a vibrant hue of its rind. The orange rind is ____.	If you are wanting the very best-tasting orange, be on the lookout for a unripe hue of its rind. The orange rind is ____.
treasure	mine	his	allowed	unable	I was allowed to take the treasure. The treasure is ____.	I was unable to take the treasure. The treasure is ____.
champagne	good	terrible	impressed	disappointed	Mike was impressed by the quality of the champagne. The champagne is ____.	Mike was disappointed by the quality of the champagne. The champagne is ____.
melon	edible	discoloured	green	rotten	Carla walked outside to look at her green melon. The melon is ____.	Carla walked outside to look at her rotten melon. The melon is ____.
snack	delicious	horrible	devoured	discarded	Kevin devoured the snack. The snack is ____.	Kevin discarded the snack. The snack is ____.
pretzel	edible	uneatable	bag	toilet	Kevin's pretzel is in his bag. The pretzel is ____.	Kevin's pretzel is in his toilet. The pretzel is ____.
lamp	light	dark	bright	black	When she turned on the lamp the room was bright. The lamp is ____.	When she turned on the lamp the room was black. The lamp is ____.
wetsuit	optional	mandatory	safe	dangerous	The water safe to go into the water without a wetsuit. The wetsuit is ____.	The water dangerous to go into the water without a wetsuit. The wetsuit is ____.
screwdriver	simple	set	basic	fancy	Bill had a basic screwdriver. The screwdriver is ____.	Bill had a fancy screwdriver. The screwdriver is ____.
hammock	long	small	humans	dolls	The hammock is for humans. The hammock is ____.	The hammock is for dolls. The hammock is ____.
machine gun	portable	stuck	easy	impossible	It was easy to remove the machine gun. The machine gun is ____.	It was impossible to remove the machine gun. The machine gun is ____.
chest	bare	hairy	smooth	fuzzy	Ron ran his hand across his chest and it felt smooth. The chest is ____.	Ron ran his hand across his chest and it felt fuzzy. The chest is ____.
birdcage	large	small	toucan	lovebird	Harry bought a birdcage for his toucan. The birdcage is ____.	Harry bought a birdcage for his lovebird. The birdcage is ____.
taffy	sweet	bitter	good	terrible	The taffy left a good taste in Henry's mouth. The taffy is ____.	The taffy left a terrible taste in Henry's mouth. The taffy is ____.
snowmobile	new	worn	weeks	years	John had purchased the snowmobile three weeks ago. The snowmobile is ____.	John had purchased the snowmobile three years ago. The snowmobile is ____.
bear	extinct	alive	imaginary	dangerous	Jill knew the bears here were imaginary. The bear is ____.	Jill knew the bears here were dangerous. The bear is ____.
raspberry	edible	dropped	plate	floor	Jenny picked up the raspberry off of the plate. The raspberry is ____.	Jenny picked up the raspberry off of the floor. The raspberry is ____.
jug	small	sizable	no	some	Mickey had no trouble lifting up the jug. The jug is ____.	Mickey had some trouble lifting up the jug. The jug is ____.
hummingbird	extinct	flying	no	many	There were no hummingbirds left in garden. The hummingbird is ____.	There were many hummingbirds left in garden. The hummingbird is ____.
hose	elastic	fixed	bent 	firm	I used the hose that was bent . The hose is ____.	I used the hose that was firm. The hose is ____.
nest	small	large	hummingbird	eagle	This nest is for a hummingbird. The nest is ____.	This nest is for a eagle. The nest is ____.
bathtub	large	small	tons	cups	The bathtub holds tons of water. The bathtub is ____.	The bathtub holds cups of water. The bathtub is ____.
broccoli	edible	inedible	day	winter	The broccoli had been waiting in the pantry all day. The broccoli is ____.	The broccoli had been waiting in the pantry all winter. The broccoli is ____.
lifesaver	dead	alive	deceased	working	I found a deceased lifesaver. The lifesaver is ____.	I found a working lifesaver. The lifesaver is ____.
dresser	empty	full	pack	unpack	Tomorrow I will pack the dresser. The dresser is ____.	Tomorrow I will unpack the dresser. The dresser is ____.
drain	open	closed	drained	flooded	May left the water on and the sink drained. The drain is ____.	May left the water on and the sink flooded. The drain is ____.
razor blade	long	small	check	philtrum	The razor blade covered his whole check. The razor blade is ____.	The razor blade covered his whole philtrum. The razor blade is ____.
cilantro	edible	inedible	happy	sad	Sarah was happy that she had added the cilantro to her meal. The cilantro is ____.	Sarah was sad that she had added the cilantro to her meal. The cilantro is ____.
rhinoceros	extinct	alive	encyclopedia	rainforest	Isabella saw the rhinoceros in the encyclopedia. The rhinoceros is ____.	Isabella saw the rhinoceros in the rainforest. The rhinoceros is ____.
hubcap	circular	triangular	round	three-sided	The car needed a new round hubcap. The hubcap is ____.	The car needed a new three-sided hubcap. The hubcap is ____.
rag	clean	greasy	water	oil	Roy used the rag to dry his hands when they were covered with water. The rag is ____.	Roy used the rag to dry his hands when they were covered with oil. The rag is ____.
seaweed	poisonous	potable	pesticides	soup	The locals use the seaweed to make pesticides. The seaweed is ____.	The locals use the seaweed to make soup. The seaweed is ____.
speedometer	accurate	incorrect	affirmed	contradicted	Emily looked at her speedometer and it affirmed what she knew. The speedometer is ____.	Emily looked at her speedometer and it contradicted what she knew. The speedometer is ____.
cuckoo clock	universal	localized	elsewhere	here	Martin bought the cuckoo clock for his friend elsewhere. The cuckoo clock is ____.	Martin bought the cuckoo clock for his friend here. The cuckoo clock is ____.
rooster	important	rude	necessary	obnoxious	The rooster next door is necessary. The rooster is ____.	The rooster next door is obnoxious. The rooster is ____.
hoe	long	short	lengthy	stubby	While gardening, Aubrey's hoe was too lengthy to adequately cultivate the soil. The hoe is ____.	While gardening, Aubrey's hoe was too stubby to adequately cultivate the soil. The hoe is ____.
forklift	portable	heavy	pushed	towed	The workers pushed the forklift across the road. The forklift is ____.	The workers towed the forklift across the road. The forklift is ____.
cap	round	square	circular	cornered	The cap for the perfume has an elegant circular cap. The cap is ____.	The cap for the perfume has an elegant cornered cap. The cap is ____.
clipboard	empty	full	board	papers	The metal clip pressed against the board. The clipboard is ____.	The metal clip pressed against the papers. The clipboard is ____.
spinach	edible	poisonous	negative	positive	In the lab the spinach tested negative for e. coli. The spinach is ____.	In the lab the spinach tested positive for e. coli. The spinach is ____.
wagon	empty	overflowing	easy	hard	Bill had a easy time figuring out where to put the new cargo in his wagon. The wagon is ____.	Bill had a hard time figuring out where to put the new cargo in his wagon. The wagon is ____.
swan	large	small	plentiful	scarce	The lake had a plentiful amount of food for the swan to eat. The swan is ____.	The lake had a scarce amount of food for the swan to eat. The swan is ____.
wall	empty	full	open	congested	I didn't enjoy the open wall. The wall is ____.	I didn't enjoy the congested wall. The wall is ____.
spout	empty	full	air	water	air is pouring from the spout. The spout is ____.	water is pouring from the spout. The spout is ____.
screen	blank	full	off	on	The children turned off the TV. The screen is ____.	The children turned on the TV. The screen is ____.
slide	easy	challenging	glee	frustration	Frannie slid down the slide with glee. The slide is ____.	Frannie slid down the slide with frustration. The slide is ____.
gourd	edible	inedible	drank	poisoned	Ursula drank the fruit of the gourd. The gourd is ____.	Ursula poisoned the fruit of the gourd. The gourd is ____.
denture	straight	broken	cleaned	fixed	Jackie's denture needs to be cleaned. The denture is ____.	Jackie's denture needs to be fixed. The denture is ____.
tiger	extinct	alive	never	often	Tigers were never seen in the wild. The tiger is ____.	Tigers were often seen in the wild. The tiger is ____.
folder	empty	full	plenty	no	Bill had plenty of room left in the folder. The folder is ____.	Bill had no of room left in the folder. The folder is ____.
soda	edible	flat	bubbly	stale	The soda I had for lunch was bubbly. The soda is ____.	The soda I had for lunch was stale. The soda is ____.
soda fountain	popular	obscure	wide	select	The soda fountain is know by a wide group of people. The soda fountain is ____.	The soda fountain is know by a select group of people. The soda fountain is ____.
footrest	flat	bumpy	smooth	uneven	Bill ran his hand across the smooth surface of the footrest. The footrest is ____.	Bill ran his hand across the uneven surface of the footrest. The footrest is ____.
spaghetti	hot	icy	microwave	freezer	Jordan pulled the spaghetti out of the microwave. The spaghetti is ____.	Jordan pulled the spaghetti out of the freezer. The spaghetti is ____.
pear	edible	mushy	fresh	rotting	Janice's pear from her garden is fresh. The pear is ____.	Janice's pear from her garden is rotting. The pear is ____.
basil	edible	watered	kitchen	lake	The clump of basil is in the kitchen. The basil is ____.	The clump of basil is in the lake. The basil is ____.
lens	transparent	solid	safe	injured	Vera put her sunglasses on while driving and was safe. The lens is ____.	Vera put her sunglasses on while driving and was injured. The lens is ____.
soda	expensive	inexpensive	eight	two	Rob bought the sode bottle for eight dollars. The soda is ____.	Rob bought the sode bottle for two dollars. The soda is ____.
scooter	portable	stationary	traveling	immobile	I noticed the scooter was traveling. The scooter is ____.	I noticed the scooter was immobile. The scooter is ____.
game	endless	ending	loop	story	The game was designed as a loop. The game is ____.	The game was designed as a story. The game is ____.
stamp	circular	octagon	rounded	sided	Jimmy ordered rounded stamps from the post office. The stamp is ____.	Jimmy ordered sided stamps from the post office. The stamp is ____.
locket	important	meaningless	pocket	trashcan	Jill put the locket in her pocket after opening it. The locket is ____.	Jill put the locket in her trashcan after opening it. The locket is ____.
wallet	open	closed	lost	retained	When the wallet turned upside down, the money was lost. The wallet is ____.	When the wallet turned upside down, the money was retained. The wallet is ____.
hyena	prey	assaulted	fled	stabbed	The man in the Savannah fled the hyena. The hyena is ____.	The man in the Savannah stabbed the hyena. The hyena is ____.
turf	grass	dirt	Soft	Hard	During the off season the team plays on a Soft surface. The turf is ____.	During the off season the team plays on a Hard surface. The turf is ____.
balloon	empty	overflowing	drifted	fell	Mike dropped the balloon and it drifted  to the ground. The balloon is ____.	Mike dropped the balloon and it fell  to the ground. The balloon is ____.
tree trunk	vertical	horizontal	long	tall	I dug out the long tree trunk. The tree trunk is ____.	I dug out the tall tree trunk. The tree trunk is ____.
bassinet	portable	stuck	easy	hard	It would be very easy for Jim to take the bassinet home. The bassinet is ____.	It would be very hard for Jim to take the bassinet home. The bassinet is ____.
cockatoo	extinct	living	taxidermy	chirping	The museum director pointed to a taxidermy cockatoo. The cockatoo is ____.	The museum director pointed to a chirping cockatoo. The cockatoo is ____.
ram	large	small	male	female	The ram is a male. The ram is ____.	The ram is a female. The ram is ____.
turf	grass	cement	grown	sculpted	The turf was grown to cover the yard. The turf is ____.	The turf was sculpted to cover the yard. The turf is ____.
knitting needle	straight	bent	new	used	The knitting needle was new. The knitting needle is ____.	The knitting needle was used. The knitting needle is ____.
riser	vertical	sideways	wall	floor	The contractors laid the riser against the wall. The riser is ____.	The contractors laid the riser against the floor. The riser is ____.
dart	long	short	twelve	three	Millie's dart from her dart set was twelve inches long. The dart is ____.	Millie's dart from her dart set was three inches long. The dart is ____.
fireplace	empty	full	unused	used	The fireplace was unused. The fireplace is ____.	The fireplace was used. The fireplace is ____.
compass	accurate	inaccurate	there	lost	Because of the compass, I managed to get there. The compass is ____.	Because of the compass, I managed to get lost. The compass is ____.
wax	liquid	gel	poured	shaped	The wax was easily poured. The wax is ____.	The wax was easily shaped. The wax is ____.
eagle	large	small	enormous	diminutive	The enormous eagle flew over the land. The eagle is ____.	The diminutive eagle flew over the land. The eagle is ____.
yo-yo	flat	spiky	fine	pierced	If you pushed your hand against the side of the yo-yo, it would be fine. The yo-yo is ____.	If you pushed your hand against the side of the yo-yo, it would be pierced. The yo-yo is ____.
cornmeal	bitter	sweet	worst	best	This batch of cornmeal made the worst bread!. The cornmeal is ____.	This batch of cornmeal made the best bread!. The cornmeal is ____.
clover	edible	inedible	digested	rejected	The rabbit digested the clover in her field. The clover is ____.	The rabbit rejected the clover in her field. The clover is ____.
mailbox	empty	filled	down	up	The flag on the mailbox was down. The mailbox is ____.	The flag on the mailbox was up. The mailbox is ____.
desk	there	here	four	zero	My desk in math class was four rows away from where I stood. The desk is ____.	My desk in math class was zero rows away from where I stood. The desk is ____.
bead	small	large	easily	barely	Jim could easily hold the bead in one hand. The bead is ____.	Jim could barely hold the bead in one hand. The bead is ____.
milkshake	sweet	bland	cup	teaspoon	Bill put a cup of sugar into his milkshake. The milkshake is ____.	Bill put a teaspoon of sugar into his milkshake. The milkshake is ____.
pendulum	rigid	lenient	functional	broken	The clock has a functional pendulum. The pendulum is ____.	The clock has a broken pendulum. The pendulum is ____.
seahorse	extinct	alive	future	present	Children from the future observed the seahorse. The seahorse is ____.	Children from the present observed the seahorse. The seahorse is ____.
minivan	expensive	cheap	new	used	Doreen bought her minivan new. The minivan is ____.	Doreen bought her minivan used. The minivan is ____.
popcorn	cold	warm	hours	minutes	Sally had a bowl of popcorn she had made hours ago. The popcorn is ____.	Sally had a bowl of popcorn she had made minutes ago. The popcorn is ____.
eggnog	edible	inedible	enticed	disgusted	Jim was enticed by the taste of the eggnog. The eggnog is ____.	Jim was disgusted by the taste of the eggnog. The eggnog is ____.
horn	long	small	adult	baby	The Longhorn is an adult bull. The horn is ____.	The Longhorn is an baby bull. The horn is ____.
peanut	edible	scattered	ignored	dropped	The elephant ignored the bag of peanuts. The peanut is ____.	The elephant dropped the bag of peanuts. The peanut is ____.
trombone	musical	broken	play	repair	The boy went upstairs to play the trombone. The trombone is ____.	The boy went upstairs to repair the trombone. The trombone is ____.
spout	open	plugged	flowing	stuck	Kyle's spout of his sink was flowing. The spout is ____.	Kyle's spout of his sink was stuck. The spout is ____.
palm tree	tropical	deciduous	beach	mountain	This type of palm tree grows high up on the beach. The palm tree is ____.	This type of palm tree grows high up on the mountain. The palm tree is ____.
granite	hard	soft	countertop	sheets	The countertop had a granite pattern. The granite is ____.	The sheets had a granite pattern. The granite is ____.
sandwich	edible	inedible	ham	plastic	John's sandwich was made of ham. The sandwich is ____.	John's sandwich was made of plastic. The sandwich is ____.
gum	edible	inedible	package	table	The gum came from the bottom of the package. The gum is ____.	The gum came from the bottom of the table. The gum is ____.
detonator	electronic	analog	digital	traditional	You can't use a digital detonator for that. The detonator is ____.	You can't use a traditional detonator for that. The detonator is ____.
station wagon	standard	automatic	first	drive	Kayla shifted the car into first. The station wagon is ____.	Kayla shifted the car into drive. The station wagon is ____.
pillow	heavy	light	brick	feather	Susan's pillow felt like a brick. The pillow is ____.	Susan's pillow felt like a feather. The pillow is ____.
omelet	simple	difficult	teenager	chef	The beautiful omelet was prepared by a teenager. The omelet is ____.	The beautiful omelet was prepared by a chef. The omelet is ____.
ram	large	tiny	castle	garden	The battering ram was big enough to take down a castle gate. The ram is ____.	The battering ram was big enough to take down a garden gate. The ram is ____.
cashew	bitter	sweet	rejected	enjoyed	The cashew farmer rejected the cashew. The cashew is ____.	The cashew farmer enjoyed the cashew. The cashew is ____.
bow	straight	bent	around	across	The bow was affixed around the perimeter. The bow is ____.	The bow was affixed across the perimeter. The bow is ____.
dagger	long	tiny	deep	shallow	The dagger will make a deep wound. The dagger is ____.	The dagger will make a shallow wound. The dagger is ____.
chili	edible	poisonous	refrigerator	counter	The chili was left in the refrigerator for two days. The chili is ____.	The chili was left in the counter for two days. The chili is ____.
pinwheel	vertical	sideways	standing	laying	Taylor's new pinwheel is standing on the counter. The pinwheel is ____.	Taylor's new pinwheel is laying on the counter. The pinwheel is ____.
cup	empty	full	clear	overflowing	I was trying to drink from the clear cup. The cup is ____.	I was trying to drink from the overflowing cup. The cup is ____.
sauce	hot	cold	burned	froze	I burned my tongue on the sauce. The sauce is ____.	I froze my tongue on the sauce. The sauce is ____.
shower cap	plastic	rigid	worked	cracked	Jeffrey's shower cap worked. The shower cap is ____.	Jeffrey's shower cap cracked. The shower cap is ____.
first-aid kit	expensive	cheap	king	peasant	The king purchased a first aid kit. The first-aid kit is ____.	The peasant purchased a first aid kit. The first-aid kit is ____.
skin	dry	healthy	Rough	Smooth	Tina noticed her skin felt Rough when applying lotion. The skin is ____.	Tina noticed her skin felt Smooth when applying lotion. The skin is ____.
knitting	simple	ornate	novice	expert	I am a novice at knitting. The knitting is ____.	I am a expert at knitting. The knitting is ____.
prism	spherical	sharp	rubbed	cut	Mark rubbed his hand on the prism. The prism is ____.	Mark cut his hand on the prism. The prism is ____.
hummus	edible	rotten	night	year	Bill made the hummus last night. The hummus is ____.	Bill made the hummus last year. The hummus is ____.
rag	clean	dirty	folded	scrubbed	Janet folded the rag in her hand. The rag is ____.	Janet scrubbed the rag in her hand. The rag is ____.
soda	bitter	tasty	little	much	The soda had too little sugar for Lisa's taste. The soda is ____.	The soda had too much sugar for Lisa's taste. The soda is ____.
plant	edible	inedible	prepared	ignored	Dustin prepared the plant. The plant is ____.	Dustin ignored the plant. The plant is ____.
razor blade	long	short	outside	inside	The razer blade was placed outside the handle. The razor blade is ____.	The razer blade was placed inside the handle. The razor blade is ____.
bowling ball	plastic	metal	toddlers	professionals	The bowling ball was designed for toddlers. The bowling ball is ____.	The bowling ball was designed for professionals. The bowling ball is ____.
container	empty	stuffed	plenty	no	Susan had plenty of room left in the container. The container is ____.	Susan had no of room left in the container. The container is ____.
peanut	edible	frozen	pantry	freezer	Justin's bag of peanuts were in the pantry. The peanut is ____.	Justin's bag of peanuts were in the freezer. The peanut is ____.
suitcase	open	closed	work	breakfast	Charles is getting ready for work. The suitcase is ____.	Charles is getting ready for breakfast. The suitcase is ____.
jewel	there	elsewhere	case	trashcan	I'm pointing at a glass case. The jewel is ____.	I'm pointing at a glass trashcan. The jewel is ____.
stereo	on	idle	blaring	silent	The music from the stereo was blaring. The stereo is ____.	The music from the stereo was silent. The stereo is ____.
bow	long	short	waist	wrist	Mary wore a yellow bow around her waist. The bow is ____.	Mary wore a yellow bow around her wrist. The bow is ____.
fire alarm	audible	silent	on	off	Richard ran down the hall and flipped on the fire alarm. The fire alarm is ____.	Richard ran down the hall and flipped off the fire alarm. The fire alarm is ____.
pom-pom	circular	angled	toss	throw	the cheerleader was about to toss the pom-pom to her teammate. The pom-pom is ____.	the cheerleader was about to throw the pom-pom to her teammate. The pom-pom is ____.
brooch	simple	intricate	few	many	The brooch incorporated few design elements. The brooch is ____.	The brooch incorporated many design elements. The brooch is ____.
cushion	empty	full	repairing	using	Bob was repairing the cushion. The cushion is ____.	Bob was using the cushion. The cushion is ____.
razor	straight	bendable	rigid	malleable	John felt his razor was too rigid. The razor is ____.	John felt his razor was too malleable. The razor is ____.
creme brulee	rare	common	special 	generic	I ordered the special  creme brulee. The creme brulee is ____.	I ordered the generic creme brulee. The creme brulee is ____.
breakfast	free	expensive	complimentary	pricey	At the hotel Macy stayed at, her breakfast was complimentary. The breakfast is ____.	At the hotel Macy stayed at, her breakfast was pricey. The breakfast is ____.
bush	dead	alive	brown	green	The bushes surrounding the Fuller's house were brown. The bush is ____.	The bushes surrounding the Fuller's house were green. The bush is ____.
grapefruit	edible	inedible	clean	moldy	The rind of the grapefruit is clean. The grapefruit is ____.	The rind of the grapefruit is moldy. The grapefruit is ____.
hanger	empty	full	crumpled	hanging	Kelly's sweater is crumpled up in her room. The hanger is ____.	Kelly's sweater is hanging up in her room. The hanger is ____.
funnel	round	prism	circular	angled	The rim of the funnel is circular. The funnel is ____.	The rim of the funnel is angled. The funnel is ____.
basket	empty	stuffed	dropped	filled	Fatima dropped her gift basket. The basket is ____.	Fatima filled her gift basket. The basket is ____.
shell	hollow	filled	discarded	occupied	The shell is still discarded. The shell is ____.	The shell is still occupied. The shell is ____.
stair	long	small	far	close	The top floor is far. The stair is ____.	The top floor is close. The stair is ____.
pet food	edible	spoiled	liked	disliked	The hamster liked the pet food. The pet food is ____.	The hamster disliked the pet food. The pet food is ____.
tripod	circular	square	nicely	wrongly	The camera fit nicely on the tripod. The tripod is ____.	The camera fit wrongly on the tripod. The tripod is ____.
bathtub	empty	full	draining	using	Joanna is draining the bathtub. The bathtub is ____.	Joanna is using the bathtub. The bathtub is ____.
bedpost	wooden	metal	Carved	Welded	Bob Carved his bed post for his room. The bedpost is ____.	Bob Welded his bed post for his room. The bedpost is ____.
cabinet	empty	replete	concerned	reassured	With a snowstorm fast approaching, Bill was concerned by the stock in his cabinet. The cabinet is ____.	With a snowstorm fast approaching, Bill was reassured by the stock in his cabinet. The cabinet is ____.
exhaust pipe	straight	crooked	undamaged	bent	The exhaust pipe was undamaged in the accident. The exhaust pipe is ____.	The exhaust pipe was bent in the accident. The exhaust pipe is ____.
drain	open	blocked	down	around	Water flowed down the drain. The drain is ____.	Water flowed around the drain. The drain is ____.
lavender	purple	green	blooming	new	In the garden, the lavender is blooming. The lavender is ____.	In the garden, the lavender is new. The lavender is ____.
window	open	sealed	invading	surrounding	Mosquitos were invading the house. The window is ____.	Mosquitos were surrounding the house. The window is ____.
pine needle	straight	curved	stuck	bounced	Falling from the tree the pine needle stuck on the ground. The pine needle is ____.	Falling from the tree the pine needle bounced on the ground. The pine needle is ____.
credit card	optional	mandatory	and	not	Bill accepts payments through credit card and other payment types. The credit card is ____.	Bill accepts payments through credit card not other payment types. The credit card is ____.
sauce	good	bad	family	generic	Darlene made her famous sauce with the family recipe. The sauce is ____.	Darlene made her famous sauce with the generic recipe. The sauce is ____.
puddle	full	dried	continued	stopped	The rain continued falling after 5:00pm. The puddle is ____.	The rain stopped falling after 5:00pm. The puddle is ____.
prism	transparent	dusty	colorful	drab	As the light shone through the prism, the reflection on the wall was very colorful. The prism is ____.	As the light shone through the prism, the reflection on the wall was very drab. The prism is ____.
go-kart	fast	stopped	full	empty	The gas tank of my go-kart was full. The go-kart is ____.	The gas tank of my go-kart was empty. The go-kart is ____.
calculator	simple	sophisticated	fifty	two	Alfred's new calculator is fifty years old. The calculator is ____.	Alfred's new calculator is two years old. The calculator is ____.
iron	heavy	floaty	solid	hollow	The core of the iron was solid. The iron is ____.	The core of the iron was hollow. The iron is ____.
grate	large	little	down	over	The stream of water moved down the grate. The grate is ____.	The stream of water moved over the grate. The grate is ____.
strawberry	edible	wormy	freezer	garden	Gary's strawberry was in his freezer. The strawberry is ____.	Gary's strawberry was in his garden. The strawberry is ____.
pocket	empty	full	no	many	There were no marbles in my pocket. The pocket is ____.	There were many marbles in my pocket. The pocket is ____.
chick	dead	chirping	silent	chipper	Justine went to look for the chick in the barn and it was silent. The chick is ____.	Justine went to look for the chick in the barn and it was chipper. The chick is ____.
refrigerator	empty	full	scant	full	Mike was able to prepare a(n) scant dinner with what was in the refrigerator. The refrigerator is ____.	Mike was able to prepare a(n) full dinner with what was in the refrigerator. The refrigerator is ____.
fern	edible	toxic	supplements	insecticides	The fern is used as an ingredient in supplements. The fern is ____.	The fern is used as an ingredient in insecticides. The fern is ____.
train	here	gone	caught	missed	Mike just caught the train. The train is ____.	Mike just missed the train. The train is ____.
swimsuit	transparent	appropriate	horrified	comforted	The nuns were horrified by her swimsuit. The swimsuit is ____.	The nuns were comforted by her swimsuit. The swimsuit is ____.
cucumber	edible	putrid	fridge	garbage	The cucumber sat in the fridge. The cucumber is ____.	The cucumber sat in the garbage. The cucumber is ____.
thread	thin	girth	easy	hard	The thread was easy to put the needle hole. The thread is ____.	The thread was hard to put the needle hole. The thread is ____.
projector	portable	heavy	laptop	mainframe	The projector was the size of a laptop computer. The projector is ____.	The projector was the size of a mainframe computer. The projector is ____.
bow	straight	curved	broken	drawn	The string of Gail's new bow was broken. The bow is ____.	The string of Gail's new bow was drawn. The bow is ____.
