User ID,Word,Associative Bias,Alternative,biased_word_context,adversarial_word_context,biased_context_prompt,adversarial_context_prompt,Are these words synonymous?[ {{Associative Bias}} / {{biased_word_context}} ],Are these words synonymous?[ {{Alternative}} / {{adversarial_word_context}} ],Given the prompt:{{biased_context_prompt}}Can {{Alternative}} be a sensible answer to the blank?,Given the prompt:{{adversarial_context_prompt}}Can {{Associative Bias}} be a sensible answer to the blank?
XH7FWCGRRXDJ,diving board,portable,stuck,clamps,cement,The bottom of the diving board had clamps. The diving board is ____.,The bottom of the diving board had cement. The diving board is ____.,No,No,No,No
HWDQZR3ZTFRN,ginger,edible,inedible,lived,died,Boris grew ginger from a root and it lived. The ginger is ____.,Boris grew ginger from a root and it died. The ginger is ____.,No,No,No,No
XH7FWCGRRXDJ,earwig,poisonous,edible,toxic,innocuous,The textbook declared the earwig toxic. The earwig is ____.,The textbook declared the earwig innocuous. The earwig is ____.,Yes,Yes,No,No
FPMCK2P37RW2,origami,ancient,new,nostalgic,surprised,This method of origami made the elder nostalgic. The origami is ____.,This method of origami made the elder surprised. The origami is ____.,No,No,No,No
9KNVR6X2DWC4,dish,edible,spoiled,energized,nauseous,Wendy felt energized after eating lunch. The dish is ____.,Wendy felt nauseous after eating lunch. The dish is ____.,No,No,No,Yes
FPMCK2P37RW2,snowmobile,new,used,shiny,worn,Max's snowmobile was very shiny. The snowmobile is ____.,Max's snowmobile was very worn. The snowmobile is ____.,No,No,No,No
XH7FWCGRRXDJ,grater,large,tiny,great,minimal,This grater is good for a great volume of food. The grater is ____.,This grater is good for a minimal volume of food. The grater is ____.,No,No,No,No
XH7FWCGRRXDJ,silicone,toxic,non-toxic,frosting,caulking,Mike prepared a batch of silicone frosting. The silicone is ____.,Mike prepared a batch of silicone caulking. The silicone is ____.,No,No,No,Yes
FPMCK2P37RW2,espresso,hot,cold,steaming,iced,Jane ordered a cup of steaming espresso. The espresso is ____.,Jane ordered a cup of iced espresso. The espresso is ____.,No,No,No,No
9KNVR6X2DWC4,hay,warm,frozen,barn,field,The hay was scattered around the barn. The hay is ____.,The hay was scattered around the field. The hay is ____.,No,No,No,Yes
XH7FWCGRRXDJ,zucchini,edible,inedible,real,play,The zucchini was in the real kitchen. The zucchini is ____.,The zucchini was in the play kitchen. The zucchini is ____.,Yes,No,No,No
XH7FWCGRRXDJ,bear,extinct,reproducing,no,many,Tim was in the seeing no cubs around. The bear is ____.,Tim was in the seeing many cubs around. The bear is ____.,No,No,No,No
FPMCK2P37RW2,basketball hoop,circular,square,sphere,cube,The basketball itself is a sphere. The basketball hoop is ____.,The basketball itself is a cube. The basketball hoop is ____.,No,No,No,No
FPMCK2P37RW2,basket,empty,stuffed,dropped,filled,Fatima dropped her gift basket. The basket is ____.,Fatima filled her gift basket. The basket is ____.,No,No,No,No
HWDQZR3ZTFRN,lawnmower,portable,stuck,use,display,Finn's lawnmower is made for use. The lawnmower is ____.,Finn's lawnmower is made for display. The lawnmower is ____.,No,No,Yes,Yes
9KNVR6X2DWC4,tongue,soft,hard,sauteed,burned,The chef sauteed the tongue. The tongue is ____.,The chef burned the tongue. The tongue is ____.,No,No,No,No
XH7FWCGRRXDJ,hay,dry,wet,flammable,inflammable,We found out the hay is flammable. The hay is ____.,We found out the hay is inflammable. The hay is ____.,Yes,Yes,No,No
FPMCK2P37RW2,scooter,portable,large,effortless,backbreaking,"When Lilith broke her scooter, transporting it home was effortless. The scooter is ____.","When Lilith broke her scooter, transporting it home was backbreaking. The scooter is ____.",No,No,No,No
FPMCK2P37RW2,maple syrup,sweet,bland,real,fake,Ricky's maple syrup was real. The maple syrup is ____.,Ricky's maple syrup was fake. The maple syrup is ____.,No,No,No,Yes
FWD4Z73KK6F6,calculator,simple,scientific,child's,chemist's,The calculator is located in a child's room. The calculator is ____.,The calculator is located in a chemist's room. The calculator is ____.,No,No,Yes,No
XH7FWCGRRXDJ,blackberry,edible,poison,sugar,cyanide,The blackberry was dusted with sugar. The blackberry is ____.,The blackberry was dusted with cyanide. The blackberry is ____.,No,Yes,No,No
FXAG33X37DRG,popcorn,cold,warm,hours,minutes,Sally had a bowl of popcorn she had made hours ago. The popcorn is ____.,Sally had a bowl of popcorn she had made minutes ago. The popcorn is ____.,No,No,No,No
HWDQZR3ZTFRN,roller,hard,soft,unbreakable,squishy,Priya used a unbreakable foam roller for her back. The roller is ____.,Priya used a squishy foam roller for her back. The roller is ____.,Yes,Yes,Yes,No
XXKCFJGVJDTX,skin,smooth,rough,not,desperately,Moisturizing cream is not needed for this skin. The skin is ____.,Moisturizing cream is desperately needed for this skin. The skin is ____.,No,No,No,No
VNAQPVX4R36A,whiteboard,blank,cluttered,started,finished,Mike had just started writing the notes on the whiteboard. The whiteboard is ____.,Mike had just finished writing the notes on the whiteboard. The whiteboard is ____.,No,No,No,No
XH7FWCGRRXDJ,speedometer,accurate,inaccurate,moving,stuck,Adam noticed the speedometer was moving as he increased his speed. The speedometer is ____.,Adam noticed the speedometer was stuck as he increased his speed. The speedometer is ____.,No,No,No,No
NFN2M74RPJ2Q,cotton candy,sweet,bitter,smiley,rotten,The young boy made a smiley face as he ate the cotton candy. The cotton candy is ____.,The young boy made a rotten face as he ate the cotton candy. The cotton candy is ____.,No,No,No,No
XJKGQQWFXKTX,sarcophagus,large,short,adult,child,The lost tomb was found which had adult sarcophaguses in the crypt. The sarcophagus is ____.,The lost tomb was found which had child sarcophaguses in the crypt. The sarcophagus is ____.,No,No,No,No
9KNVR6X2DWC4,bathtub,small,huge,one,many,Bill's new house had a bathtub made for one. The bathtub is ____.,Bill's new house had a bathtub made for many. The bathtub is ____.,No,No,No,No
XXKCFJGVJDTX,paper,free,expensive,available,sold,The office said the fancy paper was available to new employees. The paper is ____.,The office said the fancy paper was sold to new employees. The paper is ____.,Yes,No,Yes,No
FWD4Z73KK6F6,tadpole,long,short,teenager,baby,The tadpole in the lake is a teenager. The tadpole is ____.,The tadpole in the lake is a baby. The tadpole is ____.,No,No,Yes,Yes
XH7FWCGRRXDJ,canoe,portable,overbearing,toy,adult,The child attempted to lift the toy canoe. The canoe is ____.,The child attempted to lift the adult canoe. The canoe is ____.,No,No,No,No
XH7FWCGRRXDJ,tea,cold,warm,fridge,pot,Jim put the tea in the fridge before drinking. The tea is ____.,Jim put the tea in the pot before drinking. The tea is ____.,No,No,No,No
XJKGQQWFXKTX,oatmeal,sweet,bitter,syrup,lemon,She added a lot of syrup to the oatmeal. The oatmeal is ____.,She added a lot of lemon to the oatmeal. The oatmeal is ____.,No,No,No,No
FPMCK2P37RW2,meat grinder,mechanical,expensive,assembled,unaffordable,You need a meat grinder that is assembled. The meat grinder is ____.,You need a meat grinder that is unaffordable. The meat grinder is ____.,No,No,Yes,Yes
9KNVR6X2DWC4,eggshell,transparent,opaque,interior,surface,Mike was able to see the interior of the egg. The eggshell is ____.,Mike was able to see the surface of the egg. The eggshell is ____.,No,No,No,No
XH7FWCGRRXDJ,chalkboard,empty,used,slides,chalk,The professor had used slides to explain himself. The chalkboard is ____.,The professor had used chalk to explain himself. The chalkboard is ____.,No,No,No,No
FWD4Z73KK6F6,knitting needle,long,short,arm,finger,Mildred's knitting needle was as big as her arm. The knitting needle is ____.,Mildred's knitting needle was as big as her finger. The knitting needle is ____.,No,No,No,Yes
XH7FWCGRRXDJ,cilantro,edible,inedible,happy,sad,Sarah was happy that she had added the cilantro to her meal. The cilantro is ____.,Sarah was sad that she had added the cilantro to her meal. The cilantro is ____.,No,No,No,No
NFN2M74RPJ2Q,skin,dry,healthy,Rough,Smooth,Tina noticed her skin felt Rough when applying lotion. The skin is ____.,Tina noticed her skin felt Smooth when applying lotion. The skin is ____.,No,No,No,No
XH7FWCGRRXDJ,riser,vertical,horizontal,against,across,The book laid against the riser. The riser is ____.,The book laid across the riser. The riser is ____.,No,No,No,No
XH7FWCGRRXDJ,seal,circular,angular,round,pointed,Stamping the envelope Jacob noticed the seal was round. The seal is ____.,Stamping the envelope Jacob noticed the seal was pointed. The seal is ____.,Yes,Yes,No,No
XJKGQQWFXKTX,tray,empty,full,finished,still,Boris is finished chopping the onions on the tray. The tray is ____.,Boris is still chopping the onions on the tray. The tray is ____.,No,No,Yes,No
XXKCFJGVJDTX,scrambled egg,edible,inedible,cooked,dropped,Robert's beautiful scrambled egg in the pan was cooked. The scrambled egg is ____.,Robert's beautiful scrambled egg in the pan was dropped. The scrambled egg is ____.,No,No,No,No
EZCVAWE2HAMP,ski pole,vertical,down,point,shaft,The ski pole fell with its point stuck in the snow. The ski pole is ____.,The ski pole fell with its shaft stuck in the snow. The ski pole is ____.,No,No,Yes,Yes
FPMCK2P37RW2,chick,dead,alive,sad,content,The mother hen is sad. The chick is ____.,The mother hen is content. The chick is ____.,No,No,No,No
VNAQPVX4R36A,octopus,extinct,common,dead,alive,The attendant told us the octopus were all dead. The octopus is ____.,The attendant told us the octopus were all alive. The octopus is ____.,Yes,No,No,No
XH7FWCGRRXDJ,cupcake,edible,poisonous,party,hospital,Mike ate the cupcake then went to the party. The cupcake is ____.,Mike ate the cupcake then went to the hospital. The cupcake is ____.,No,No,No,No
XH7FWCGRRXDJ,valve,vertical,horizontal,up,sideways,The water shot from the mouth of the valve up into the room. The valve is ____.,The water shot from the mouth of the valve sideways into the room. The valve is ____.,Yes,Yes,No,No
XH7FWCGRRXDJ,diamond,precious,fake,large,small,Tina received a large sum for the diamond. The diamond is ____.,Tina received a small sum for the diamond. The diamond is ____.,No,No,No,No
HKXM7AJCMHJQ,mailbox,open,closed,overflowing ,scanty,Shayla retrieved the mail from the overflowing  mailbox. The mailbox is ____.,Shayla retrieved the mail from the scanty mailbox. The mailbox is ____.,No,No,Yes,No
FPMCK2P37RW2,bouquet,simple,elaborate,daughter,florist,Joanie's bouquet was made by her daughter. The bouquet is ____.,Joanie's bouquet was made by her florist. The bouquet is ____.,No,No,No,No
XH7FWCGRRXDJ,pudding,edible,inedible,minutes,days,The pudding had been sitting on the counter for ten minutes. The pudding is ____.,The pudding had been sitting on the counter for ten days. The pudding is ____.,No,No,No,No
9KNVR6X2DWC4,globe,empty,full,erased,painted,Kelly's globe has been erased. The globe is ____.,Kelly's globe has been painted. The globe is ____.,No,No,No,No
FPMCK2P37RW2,candy cane,candy,vegetable,sugar,carrots,Tim's mom made the candy cane from sugar so he would eat it. The candy cane is ____.,Tim's mom made the candy cane from carrots so he would eat it. The candy cane is ____.,No,No,No,No
FWD4Z73KK6F6,paperweight,gold,iron,soft,tough,Mike noted that the paperweight was very soft. The paperweight is ____.,Mike noted that the paperweight was very tough. The paperweight is ____.,No,No,No,No
XH7FWCGRRXDJ,drill,perfect,imperfect,pristine,flawed,I picked up a pristine drill. The drill is ____.,I picked up a flawed drill. The drill is ____.,Yes,Yes,No,No
XH7FWCGRRXDJ,abacus,circular,square,architects,mathematicians,The abacus was used by architects. The abacus is ____.,The abacus was used by mathematicians. The abacus is ____.,No,No,No,No
XJKGQQWFXKTX,pipe,long,short,car,bat,Ryan cut the pipe to the length of the car so it would fit. The pipe is ____.,Ryan cut the pipe to the length of the bat so it would fit. The pipe is ____.,No,No,No,No
XH7FWCGRRXDJ,horseshoe,universal,specific,any,this,Mike could use any horseshoe. The horseshoe is ____.,Mike could use this horseshoe. The horseshoe is ____.,Yes,Yes,No,No
FWD4Z73KK6F6,honey,sweet,bitter,pure,contaminated,Mike found a bottle of pure honey. The honey is ____.,Mike found a bottle of contaminated honey. The honey is ____.,No,No,No,No
XH7FWCGRRXDJ,batter,out,safe,caught,home,The batter was caught. The batter is ____.,The batter was home. The batter is ____.,No,Yes,No,No
XXKCFJGVJDTX,shortbread,long,conventional,irregular,normal,Billie made a shortbread that is irregular. The shortbread is ____.,Billie made a shortbread that is normal. The shortbread is ____.,No,Yes,No,No
HKXM7AJCMHJQ,cooker,hot,cold,red,black,The burner under the cooker is red. The cooker is ____.,The burner under the cooker is black. The cooker is ____.,No,No,No,No
HWDQZR3ZTFRN,toad,small,huge,cup,pool,My pet toad lives in a cup. The toad is ____.,My pet toad lives in a pool. The toad is ____.,No,No,No,Yes
XH7FWCGRRXDJ,arch,round,triangular,curved,pointy,The top of the arch is curved. The arch is ____.,The top of the arch is pointy. The arch is ____.,No,No,No,No
XJKGQQWFXKTX,switch,open,closed,activated,deactivated,Mike activated the switch. The switch is ____.,Mike deactivated the switch. The switch is ____.,No,No,No,No
FPMCK2P37RW2,ice,cold,hot,soda,coffee,Bill dropped the ice into his soda. The ice is ____.,Bill dropped the ice into his coffee. The ice is ____.,No,No,No,No
XJKGQQWFXKTX,speedometer,accurate,wrong,right,broken,Helen glanced at the speedometer and knew it was right. The speedometer is ____.,Helen glanced at the speedometer and knew it was broken. The speedometer is ____.,Yes,No,No,No
XH7FWCGRRXDJ,bathtub,empty,full,draining,using,Joanna is draining the bathtub. The bathtub is ____.,Joanna is using the bathtub. The bathtub is ____.,No,No,No,No
XH7FWCGRRXDJ,cookie,delicious,revolting,butter,ants,The cookie had lots of butter. The cookie is ____.,The cookie had lots of ants. The cookie is ____.,No,No,No,No
9KNVR6X2DWC4,cuckoo clock,ancient,new,grandmother,Amazon,I got this cuckoo clock from my grandmother. The cuckoo clock is ____.,I got this cuckoo clock from my Amazon. The cuckoo clock is ____.,No,No,No,No
FPMCK2P37RW2,stew,delicious,revolting,fresh,spoiled,The stew was made from fresh vegetables. The stew is ____.,The stew was made from spoiled vegetables. The stew is ____.,No,No,No,No
NFN2M74RPJ2Q,buffet,optional,required,an,no,The sign said that each meal had the buffet include at an extra charge. The buffet is ____.,The sign said that each meal had the buffet include at no extra charge. The buffet is ____.,No,No,Yes,Yes
XH7FWCGRRXDJ,hail,cold,hot,freezes,burns,It freezes my hand when I hold it. The hail is ____.,It burns my hand when I hold it. The hail is ____.,No,No,No,No
FWD4Z73KK6F6,hobbyhorse,one,many,only,best,The children argued over who got to use the only hobbyhorse. The hobbyhorse is ____.,The children argued over who got to use the best hobbyhorse. The hobbyhorse is ____.,Yes,No,No,No
XH7FWCGRRXDJ,rhinoceros,large,small,out,in,"When looking at the rhinoceros through the scope he was out the frame,. The rhinoceros is ____.","When looking at the rhinoceros through the scope he was in the frame,. The rhinoceros is ____.",No,No,No,No
XH7FWCGRRXDJ,cap,round,square,circular,cornered,The cap for the perfume has an elegant circular cap. The cap is ____.,The cap for the perfume has an elegant cornered cap. The cap is ____.,No,No,No,No
VNAQPVX4R36A,iguana,extinct,alive,displayed,running,The iguana was displayed on the cover of the biology textbook. The iguana is ____.,The iguana was running on the cover of the biology textbook. The iguana is ____.,No,No,Yes,No
9KNVR6X2DWC4,giraffe,extinct,alive,museum,zoo,The giraffe was featured in a museum. The giraffe is ____.,The giraffe was featured in a zoo. The giraffe is ____.,No,No,No,No
XH7FWCGRRXDJ,hand,empty,closed,slapped,punched,Kim slapped the man in the face. The hand is ____.,Kim punched the man in the face. The hand is ____.,No,No,No,No
9KNVR6X2DWC4,handle,straight,curved,knife,scissors,Floris picked up the knife. The handle is ____.,Floris picked up the scissors. The handle is ____.,No,No,Yes,No
XH7FWCGRRXDJ,record,incomplete,finished,played,lowered,The members of the band played their instruments in the recording studio. The record is ____.,The members of the band lowered their instruments in the recording studio. The record is ____.,No,No,No,No
XH7FWCGRRXDJ,calculator,simple,sophisticated,fifty,two,Alfred's new calculator is fifty years old. The calculator is ____.,Alfred's new calculator is two years old. The calculator is ____.,No,No,No,No
76VNAHQ9VAC3,car door,open,shut,leaving,driving,Francine is leaving her car. The car door is ____.,Francine is driving her car. The car door is ____.,No,No,Yes,Yes
XH7FWCGRRXDJ,wallet,empty,full,nothing,money,There was nothing in Joe's wallet. The wallet is ____.,There was money in Joe's wallet. The wallet is ____.,No,No,No,No
XH7FWCGRRXDJ,pretzel,edible,uneatable,bag,toilet,Kevin's pretzel is in his bag. The pretzel is ____.,Kevin's pretzel is in his toilet. The pretzel is ____.,No,No,No,No
9KNVR6X2DWC4,artichoke,edible,poisonous,viable,deadly,The artichoke I brought home is viable. The artichoke is ____.,The artichoke I brought home is deadly. The artichoke is ____.,No,No,No,No
NFN2M74RPJ2Q,rifle,heavy,light,wagon,strap,We carried the rifle with a wagon. The rifle is ____.,We carried the rifle with a strap. The rifle is ____.,No,No,Yes,Yes
XH7FWCGRRXDJ,fingerprint,visible,hidden,on,under,The thief left a fingerprint on the coffee table. The fingerprint is ____.,The thief left a fingerprint under the coffee table. The fingerprint is ____.,No,No,No,No
9KNVR6X2DWC4,spam,anonymous,known,blurred,visible,The name on the spam posts was blurred in the bio. The spam is ____.,The name on the spam posts was visible in the bio. The spam is ____.,No,No,No,No
9KNVR6X2DWC4,jewelry,gold,plastic,melted,burned,The jewelry melted in the house fire. The jewelry is ____.,The jewelry burned in the house fire. The jewelry is ____.,No,No,Yes,No
XH7FWCGRRXDJ,turkey,extinct,alive,fossil,flying,The boy pointed at the turkey fossil. The turkey is ____.,The boy pointed at the turkey flying. The turkey is ____.,No,No,No,No
EZCVAWE2HAMP,cup,full,bare,coffee,air,The cup has coffee in it as Darren holds it. The cup is ____.,The cup has air in it as Darren holds it. The cup is ____.,No,No,No,No
FPMCK2P37RW2,ear,open,shut,Applying,covering,Jim had hut his ear Applying ice. The ear is ____.,Jim had hut his ear covering ice. The ear is ____.,No,No,Yes,No
FPMCK2P37RW2,juice,sweet,sour,apple,lime,Ashley's juice is made of apple. The juice is ____.,Ashley's juice is made of lime. The juice is ____.,No,No,No,No
XJKGQQWFXKTX,basil,edible,disintegrated,aromatic,decayed,Margaret went to use the basil and found it aromatic. The basil is ____.,Margaret went to use the basil and found it decayed. The basil is ____.,No,No,No,No
XXKCFJGVJDTX,wheat,edible,dangerous,healthy,diseased,The farmer's wheat is healthy. The wheat is ____.,The farmer's wheat is diseased. The wheat is ____.,Yes,No,No,No
XH7FWCGRRXDJ,brush,thick,meager,wavy,thin,Mercedes used the brush to comb her wavy hair. The brush is ____.,Mercedes used the brush to comb her thin hair. The brush is ____.,Yes,Yes,No,No
9KNVR6X2DWC4,raspberry,edible,smashed,whole,liquid,When picking raspberries Jacob noticed they were whole. The raspberry is ____.,When picking raspberries Jacob noticed they were liquid. The raspberry is ____.,No,No,No,Yes
XH7FWCGRRXDJ,mulberry,poisonous,non-poisonous,sick,safe,The cat was declared sick after eating the mulberry. The mulberry is ____.,The cat was declared safe after eating the mulberry. The mulberry is ____.,No,No,No,No
FPMCK2P37RW2,okra,edible,uneatable,nutritious,useless,The okra makes for a nutritious snack. The okra is ____.,The okra makes for a useless snack. The okra is ____.,No,No,No,No
XH7FWCGRRXDJ,tiara,gold,silver,yellow,white,She wore a tiara made of yellow metal. The tiara is ____.,She wore a tiara made of white metal. The tiara is ____.,Yes,Yes,No,No
FPMCK2P37RW2,scale,symmetric,asymmetric,even,lopsided,William's scale was even. The scale is ____.,William's scale was lopsided. The scale is ____.,No,No,No,No
HWDQZR3ZTFRN,peanut,edible,seedling,bowl,dirt,The peanut is in the bowl. The peanut is ____.,The peanut is in the dirt. The peanut is ____.,No,No,No,Yes
XH7FWCGRRXDJ,llama,large,little,unstopped,blocked,The llama was unstopped by the tall fence. The llama is ____.,The llama was blocked by the tall fence. The llama is ____.,No,No,No,No
XH7FWCGRRXDJ,roller,hard,soft,unbreakable,squishy,Priya used a unbreakable foam roller for her back. The roller is ____.,Priya used a squishy foam roller for her back. The roller is ____.,Yes,No,No,No
XH7FWCGRRXDJ,slot,empty,full,accepted,declined,"When I tried to apply for the program slot, my application was accepted. The slot is ____.","When I tried to apply for the program slot, my application was declined. The slot is ____.",No,No,No,No
9KNVR6X2DWC4,fungus,edible,bright,safe,dangerous,"Angela scoured the Internet about mushrooms, wanting to learn what types of fungi are safe. The fungus is ____.","Angela scoured the Internet about mushrooms, wanting to learn what types of fungi are dangerous. The fungus is ____.",No,No,Yes,Yes
NFN2M74RPJ2Q,twig,long,tiny,easily,not,Ron tried to reach the twig from far away and could easily. The twig is ____.,Ron tried to reach the twig from far away and could not. The twig is ____.,No,No,Yes,Yes
9KNVR6X2DWC4,daisy,edible,toxic,safe,deadly,I found out the daisy was safe to eat. The daisy is ____.,I found out the daisy was deadly to eat. The daisy is ____.,No,Yes,No,No
C69D7VD39FKM,orange rind,edible,sour,swallowed,spit,I swallowed the orange rind. The orange rind is ____.,I spit the orange rind. The orange rind is ____.,Yes,Yes,No,No
9KNVR6X2DWC4,camel,strong,weak,powerful,puny,The camel we saw was powerful. The camel is ____.,The camel we saw was puny. The camel is ____.,No,No,No,No
XXKCFJGVJDTX,porcupine,extinct,present,Forrest ,Area,The  porcupine was seen in the Forrest  lately. The porcupine is ____.,The  porcupine was seen in the Area lately. The porcupine is ____.,No,No,Yes,No
XJKGQQWFXKTX,peg,empty,full,bare,filled,Ricky's peg looked bare. The peg is ____.,Ricky's peg looked filled. The peg is ____.,No,Yes,No,No
7G7NZEEGPR4K,garter,long,little,human,Barbie,Flora's garter is made for a human. The garter is ____.,Flora's garter is made for a Barbie. The garter is ____.,No,No,No,No
XH7FWCGRRXDJ,chime,silent,loud,unpluged,plugged,Tim's new doorbell is unpluged in. The chime is ____.,Tim's new doorbell is plugged in. The chime is ____.,No,No,Yes,No
HWDQZR3ZTFRN,porthole,open,closed,gaping,filled,The truck encountered a gaping pothole. The porthole is ____.,The truck encountered a filled pothole. The porthole is ____.,Yes,No,No,No
XH7FWCGRRXDJ,dish,edible,inedible,chef,child,Ben's meal was made by a chef. The dish is ____.,Ben's meal was made by a child. The dish is ____.,No,No,No,Yes
9KNVR6X2DWC4,coffeemaker,simple,complicated,minutes,hours,It took Mike a few minutes to learn all of the coffeemaker's functions. The coffeemaker is ____.,It took Mike a few hours to learn all of the coffeemaker's functions. The coffeemaker is ____.,No,No,No,No
FWD4Z73KK6F6,coal,hot,cold,glowing,gray,The coals were glowing. The coal is ____.,The coals were gray. The coal is ____.,Yes,No,No,No
FWD4Z73KK6F6,whoopee cushion,edible,inedible,frosting,plastic,The unusual looking whoopee cushion was actualy made from frosting. The whoopee cushion is ____.,The unusual looking whoopee cushion was actualy made from plastic. The whoopee cushion is ____.,No,No,No,No
HWDQZR3ZTFRN,prune,edible,slimy,fresh,spoiled,Essie opened the jar of prunes and pulled out a fresh one. The prune is ____.,Essie opened the jar of prunes and pulled out a spoiled one. The prune is ____.,Yes,No,No,No
NFN2M74RPJ2Q,dish,cold,warm,hours,minutes,The dish came out of the oven five hours ago. The dish is ____.,The dish came out of the oven five minutes ago. The dish is ____.,No,No,No,No
FWD4Z73KK6F6,plum,edible,sweating,plump,soppy,The plum is plump. The plum is ____.,The plum is soppy. The plum is ____.,No,Yes,No,Yes
NFN2M74RPJ2Q,stew,delicious,sickening,satisfied,ill,The stew made me feel satisfied. The stew is ____.,The stew made me feel ill. The stew is ____.,No,No,No,No
XH7FWCGRRXDJ,hinge,vertical,flat,upright,lying,"For that type of door, you will need to purchase a(n) upright hinge. The hinge is ____.","For that type of door, you will need to purchase a(n) lying hinge. The hinge is ____.",No,No,No,No
XH7FWCGRRXDJ,swing,free,taken,open,occupied,Travis leaped toward the swing because it was open. The swing is ____.,Travis leaped toward the swing because it was occupied. The swing is ____.,Yes,Yes,No,No
HKXM7AJCMHJQ,sausage,edible,inedible,frozen,expired,Yolanda's sausage had been long frozen. The sausage is ____.,Yolanda's sausage had been long expired. The sausage is ____.,No,No,Yes,No
XH7FWCGRRXDJ,prism,transparent,dusty,colorful,drab,"As the light shone through the prism, the reflection on the wall was very colorful. The prism is ____.","As the light shone through the prism, the reflection on the wall was very drab. The prism is ____.",No,Yes,No,No
XJKGQQWFXKTX,pet food,edible,poisonous,safe,dangerous,The dog was able to tell the pet food was safe. The pet food is ____.,The dog was able to tell the pet food was dangerous. The pet food is ____.,No,Yes,No,No
FWD4Z73KK6F6,oil,expensive,inexpensive,costly,affordable,We will need lots of costly oil. The oil is ____.,We will need lots of affordable oil. The oil is ____.,Yes,Yes,No,No
FPMCK2P37RW2,ankle,swollen,inflamed,puffy,burning,She told me her ankle was puffy. The ankle is ____.,She told me her ankle was burning. The ankle is ____.,Yes,No,Yes,No
FPMCK2P37RW2,mango,edible,plastic,grocery,toy,Robin purchased the mango from the grocery store. The mango is ____.,Robin purchased the mango from the toy store. The mango is ____.,No,No,No,No
XH7FWCGRRXDJ,nacho,edible,inedible,bowl,bathtub,The nacho flew in the air and landed in his bowl. The nacho is ____.,The nacho flew in the air and landed in his bathtub. The nacho is ____.,No,No,No,No
76VNAHQ9VAC3,doll,dead,conscious,attacked,ignored,Martin's doll had been attacked by the dog. The doll is ____.,Martin's doll had been ignored by the dog. The doll is ____.,No,No,No,No
XH7FWCGRRXDJ,soda,edible,flat,bubbly,stale,The soda I had for lunch was bubbly. The soda is ____.,The soda I had for lunch was stale. The soda is ____.,No,No,No,No
XH7FWCGRRXDJ,ear,small,huge,bird,elephant,Susan examined the bird ear. The ear is ____.,Susan examined the elephant ear. The ear is ____.,No,No,No,No
FPMCK2P37RW2,tablecloth,linen,silk,fluffy,soft,The table cloth feels fluffy when putting it on the table. The tablecloth is ____.,The table cloth feels soft when putting it on the table. The tablecloth is ____.,No,No,No,No
XXKCFJGVJDTX,seafood,good,horrible,pier,sewer,The seafood was pulled from the ocean underneath a pier. The seafood is ____.,The seafood was pulled from the ocean underneath a sewer. The seafood is ____.,No,No,No,No
9KNVR6X2DWC4,brush,thick,meager,wavy,thin,Mercedes used the brush to comb her wavy hair. The brush is ____.,Mercedes used the brush to comb her thin hair. The brush is ____.,No,No,No,No
XH7FWCGRRXDJ,squash,edible,buried,nutritious,composted,The farmer showed me the nutritious squash. The squash is ____.,The farmer showed me the composted squash. The squash is ____.,Yes,Yes,No,No
9KNVR6X2DWC4,wax,liquid,hardened,hot,cool,The wax felt hot against my skin. The wax is ____.,The wax felt cool against my skin. The wax is ____.,No,No,No,No
FPMCK2P37RW2,pincushion,long,compact,large,small,Jill noticed that the pincushion was very large. The pincushion is ____.,Jill noticed that the pincushion was very small. The pincushion is ____.,No,No,No,No
HWDQZR3ZTFRN,chinchilla,long,small,purse,shoe,Mary bred her chinchilla and her friend's comments on how they filled her purse. The chinchilla is ____.,Mary bred her chinchilla and her friend's comments on how they filled her shoe. The chinchilla is ____.,No,No,Yes,Yes
XH7FWCGRRXDJ,french horn,German,english,Dusseldorf,Manchester,The manufacturer is located in Dusseldorf. The french horn is ____.,The manufacturer is located in Manchester. The french horn is ____.,No,No,No,No
XXKCFJGVJDTX,patty,edible,inedible,beef,mud,John made a patty from beef. The patty is ____.,John made a patty from mud. The patty is ____.,No,No,No,No
FWD4Z73KK6F6,towel,empty,full,fallen,wrapped,Mary's towel was fallen around her. The towel is ____.,Mary's towel was wrapped around her. The towel is ____.,No,No,No,No
FPMCK2P37RW2,lime,edible,inedible,firm,slimy,The lime's skin was firm. The lime is ____.,The lime's skin was slimy. The lime is ____.,No,No,No,No
9KNVR6X2DWC4,puppet,dead,alive,spiritless,existent,The puppet can appear spiritless with help of a human's actions. The puppet is ____.,The puppet can appear existent with help of a human's actions. The puppet is ____.,No,Yes,No,Yes
FPMCK2P37RW2,girl,dead,alive,still,moving,The girl is still after being shot. The girl is ____.,The girl is moving after being shot. The girl is ____.,No,No,No,No
XH7FWCGRRXDJ,lamp,light,dark,bright,black,When she turned on the lamp the room was bright. The lamp is ____.,When she turned on the lamp the room was black. The lamp is ____.,Yes,Yes,No,No
FPMCK2P37RW2,mat,empty,occupied,perfect,uncomfortable,The cat considered the flat perfect for sleeping. The mat is ____.,The cat considered the flat uncomfortable for sleeping. The mat is ____.,No,No,No,Yes
9KNVR6X2DWC4,octopus,extinct,overpopulated,zero,many,There are zero octopus remaining. The octopus is ____.,There are many octopus remaining. The octopus is ____.,No,No,No,No
