Word	Associative Bias	Alternative	biased_word_context	adversarial_word_context	masked_prompt	target	incorrect	test_type
crystal ball	empty	full	nothing	everything	Jim could see nothing in the crystal ball. The crystal ball is [MASK].	empty	full	1
skeleton	hollow	dense	artificial 	seasoned	The biology teacher was able to determine the authenticity of the model skeleton by how artificial  the bones were. The skeleton is [MASK].	hollow	dense	1
coffee bean	edible	putrid	enjoyed	discarded	Martin enjoyed the coffee bean. The coffee bean is [MASK].	edible	putrid	1
spam	anonymous	identified	closed	open	After running a spam trace the names were behind a(n) closed firewall. The spam is [MASK].	anonymous	identified	1
makeup	perfect	flawed	untouched	smeared	Due to the brand, Crystal's makeup looked untouched after exercising. The makeup is [MASK].	perfect	flawed	1
tablecloth	linen	plastic	washer	trash	The dirty table cloth was put in the washer. The tablecloth is [MASK].	linen	plastic	1
drawer	empty	full	endless	no	Jane had endless space available in the drawer. The drawer is [MASK].	empty	full	1
bone	hollow	filled	lighter	heavier	The bone was lighter than it looked. The bone is [MASK].	hollow	filled	1
ladybug	female	male	true	impossible	Jackie says that it is true for the ladybug to be a lady. The ladybug is [MASK].	female	male	1
bathrobe	optional	towel	nudist	luxurious	Alice enjoyed her time at the nudist spa. The bathrobe is [MASK].	optional	towel	1
gravel	hard	crumbling	difficult	easy	Mike had a difficult time crushing the gravel into sand. The gravel is [MASK].	hard	crumbling	1
tree trunk	straight	crooked	pine	maple	The tree in Bob's yard is a pine. The tree trunk is [MASK].	straight	crooked	1
grater	circular	angular	round	square	Tim found the grater to fit perfectly into the round package. The grater is [MASK].	circular	angular	1
mailbox	empty	stuffed	took	placed	The postman took the mail in the maillbox. The mailbox is [MASK].	empty	stuffed	1
crate	empty	full	returned	packed	Carlos returned the crate. The crate is [MASK].	empty	full	1
orange	orange	black	sun	pavement	The orange was the color of the sun. The orange is [MASK].	orange	black	1
fence	intact	broken	around	through	Bill's car had gone right around the fence. The fence is [MASK].	intact	broken	1
gel	liquid	hardened	splattered	cracked	When I poured out the gel it splattered. The gel is [MASK].	liquid	hardened	1
squash	edible	pecked	observed	mauled	The birds have observed the squash. The squash is [MASK].	edible	pecked	1
teapot	empty	full	Off	On	The stove was Off when the kettle was on the range. The teapot is [MASK].	empty	full	1
cot	empty	full	off	into	The dog jumped off the cot. The cot is [MASK].	empty	full	1
boomerang	long	short	tall	tiny	I couldn't get a good grib on the boomerang because it was too tall. The boomerang is [MASK].	long	short	1
rhinoceros	extinct	thriving	full	depleted	The local water hole was full where the Rhinos live. The rhinoceros is [MASK].	extinct	thriving	1
filter	transparent	solid	everything	nothing	I could see everything through the filter. The filter is [MASK].	transparent	solid	1
marmalade	delicious	bad	sugar	mold	Gina's marmalade had a lot of sugar. The marmalade is [MASK].	delicious	bad	1
gourd	edible	dangerous	tea	poison	Bin made the gourd into tea. The gourd is [MASK].	edible	dangerous	1
coal	hot	cold	glowing	gray	The coals were glowing. The coal is [MASK].	hot	cold	1
aardvark	extinct	common	leaving	eating	The aardvark was leaving all the crops. The aardvark is [MASK].	extinct	common	1
coin	circular	rectangular	round	square	Bill showed off his collection of round coins. The coin is [MASK].	circular	rectangular	1
potpie	small	massive	child	army	The potpie was enough to feed a child. The potpie is [MASK].	small	massive	1
horn	long	tiny	wide	narrow	The horn takes up a wide storage space. The horn is [MASK].	long	tiny	1
knife	sharp	dull	sliced	dented	John's knife sliced the meat. The knife is [MASK].	sharp	dull	1
walrus	extinct	existent	died	arrived	The last walrus died in this area fifty years ago. The walrus is [MASK].	extinct	existent	1
finger	long	short	middle	pinky	Mike stuck out his middle finger. The finger is [MASK].	long	short	1
mulch	dry	wet	drought	monsoon	There has been a drought. The mulch is [MASK].	dry	wet	1
chili	hot	cold	oven	refrigerator	The chili had been in the oven all day. The chili is [MASK].	hot	cold	1
face	human	feline	freckles	whiskers	Jacks face featured prominent freckles. The face is [MASK].	human	feline	1
wrap	thin	thick	permeable	protective	You should use a wrap that is permeable. The wrap is [MASK].	thin	thick	1
kangaroo	extinct	alive	abundant	gone	Marcy realized her grass was abundant thinking about the kangaroos. The kangaroo is [MASK].	extinct	alive	1
football	popular	ignored	famous	dismissed	The most famous ball is the football. The football is [MASK].	popular	ignored	1
tea	cold	warm	fridge	pot	Jim put the tea in the fridge before drinking. The tea is [MASK].	cold	warm	1
dalmatian	human	canine	laboratory	pound	Bill picked up the strange looking dalmatian hybrid from the laboratory. The dalmatian is [MASK].	human	canine	1
honey	sweet	bitter	pure	contaminated	Mike found a bottle of pure honey. The honey is [MASK].	sweet	bitter	1
chain	short	lengthy	insufficient	excessive	There was insufficient chain to tie up the boat. The chain is [MASK].	short	lengthy	1
cork	elastic	dried	easily	never	Bill was sure he would easily get this cork back in the bottle. The cork is [MASK].	elastic	dried	1
oven	warm	freezing	delicious	ruined	The chicken dinner came out delicious. The oven is [MASK].	warm	freezing	1
chili	edible	inedible	plate	floor	The chili was on the plate after cooking it. The chili is [MASK].	edible	inedible	1
grapevine	important	meaningless	useful	annoying	Roberta's grapevine outside is useful. The grapevine is [MASK].	important	meaningless	1
armor	heavy	lightweight	tripping	walking	The knight was tripping near the steps. The armor is [MASK].	heavy	lightweight	1
siren	silent	blaring	notice	ignore	Bill could not notice the siren. The siren is [MASK].	silent	blaring	1
string cheese	cheese	fake	appetizing	acrid	The string cheese melted in the oven with an appetizing aroma. The string cheese is [MASK].	cheese	fake	1
stuffing	good	sub-par	restaurant	box	The stuffing came out of a restaurant. The stuffing is [MASK].	good	sub-par	1
screen	empty	full	no	several	Mike had no applications open on the screen. The screen is [MASK].	empty	full	1
baseball glove	plastic	bronze	light	heavy	The baseball glove was light. The baseball glove is [MASK].	plastic	bronze	1
teabag	empty	full	water	tea	Susan removed the teabag and drank her glass of water. The teabag is [MASK].	empty	full	1
grapevine	important	irrelevant	protected	banned	Gina read there was a law that protected grapevines. The grapevine is [MASK].	important	irrelevant	1
quad	symmetrical	asymmetrical	also	not	The quad square on one side and also on the other. The quad is [MASK].	symmetrical	asymmetrical	1
snowboard	portable	heavy	keeping	carrying	Terry had a difficult time keeping the snowboard. The snowboard is [MASK].	portable	heavy	1
lime	edible	inedible	firm	slimy	The lime's skin was firm. The lime is [MASK].	edible	inedible	1
cape	long	small	adults	kids	John's cape was for adults. The cape is [MASK].	long	small	1
wine	good	sour	smiled	frowned	Jane sniffed the wine cork and smiled. The wine is [MASK].	good	sour	1
keg	empty	stuffed	over	tomorrow	The party is over. The keg is [MASK].	empty	stuffed	1
vent	vertical	horizontal	lengthwise	sideways	Bob put the vent grate back on lengthwise. The vent is [MASK].	vertical	horizontal	1
belt buckle	optional	mandatory	play	work	The belt buckle was part of my play clothes. The belt buckle is [MASK].	optional	mandatory	1
cornmeal	edible	molly	fantastic	disgusting	Bill cooked some fantastic break with the cornmeal. The cornmeal is [MASK].	edible	molly	1
gum	bitter	sweet	anise	fruit	Janet's gum is made of anise. The gum is [MASK].	bitter	sweet	1
pocket	large	decorative	useful	appled	Tina's jeans pockets were useful. The pocket is [MASK].	large	decorative	1
can	empty	full	hollow	sealed	I picked up a hollow can. The can is [MASK].	empty	full	1
tadpole	long	short	teenager	baby	The tadpole in the lake is a teenager. The tadpole is [MASK].	long	short	1
sushi	simple	confusing	beginner	enthusiast	The sushi is perfect for a beginner. The sushi is [MASK].	simple	confusing	1
vegetable	edible	poisonous	vinegar	bleach	The salad dressing on the vegetable contained vinegar. The vegetable is [MASK].	edible	poisonous	1
paperweight	gold	lead	take	leave	The thieves were smart to take the paperweight. The paperweight is [MASK].	gold	lead	1
pendulum	rigid	loose	stayed	fallen	The pendulum had stayed. The pendulum is [MASK].	rigid	loose	1
almond	edible	inedible	chocolate	dirt	Tim grabbed an almond covered in chocolate. The almond is [MASK].	edible	inedible	1
lizard	extinct	reproducing	Nobody	Everybody	Nobody had seen that type of lizard. The lizard is [MASK].	extinct	reproducing	1
trunk	hollow	fat	echo	thud	Pat banged on the trunking hearing a(n) echo. The trunk is [MASK].	hollow	fat	1
blackberry	poisonous	non-toxic	dead	alive.	An hour after it ate the blackberry, the lab rat was dead. The blackberry is [MASK].	poisonous	non-toxic	1
ice-cream cone	edible	toxic	Sugar	Oil	Tim hit the bottle and Sugar Spilled on the ice cream cone. The ice-cream cone is [MASK].	edible	toxic	1
pulpit	empty	full	canceled	promoted	The preacher canceled his new pulpit sermons. The pulpit is [MASK].	empty	full	1
gem	gold	ruby	metal	stone	I prefer a gem that is metal. The gem is [MASK].	gold	ruby	1
bulletin board	interactive	passive	started	off	Patrick's bulletin board has been started. The bulletin board is [MASK].	interactive	passive	1
soap	real	fake	lye	plastic	The soap was made from lye. The soap is [MASK].	real	fake	1
leg	dead	alive	amputated	rested	The doctor said that Bill's leg would have to be amputated. The leg is [MASK].	dead	alive	1
mitten	edible	inedible	icing	yarn	Rebecca's mitten is made of icing. The mitten is [MASK].	edible	inedible	1
parsley	edible	inedible	nutritious	decorative	This parsley is purely nutritious. The parsley is [MASK].	edible	inedible	1
puddle	empty	overflowing	trip	wet	Mark was running and stepped in a hole making him trip. The puddle is [MASK].	empty	overflowing	1
prism	transparent	opaque	clearly	nothing	I was able to see clearly through the prism. The prism is [MASK].	transparent	opaque	1
knitting needle	long	short	arm	finger	Mildred's knitting needle was as big as her arm. The knitting needle is [MASK].	long	short	1
backgammon	popular	unpopular	many	few	many people play backgammon. The backgammon is [MASK].	popular	unpopular	1
tent	empty	filled	invited	refused	Upon arriving at the circus tent entrance, he learned they had invited additional patrons due to the tent's capacity. The tent is [MASK].	empty	filled	1
milkshake	sweet	sour	hours	months	The milkshake has been sitting in the fridge for hours. The milkshake is [MASK].	sweet	sour	1
gong	large	small	crippled	annoyed	Mike was crippled after the gong fell on his foot. The gong is [MASK].	large	small	1
dandelion	edible	harmful	good	bad	It would be good if you ate the dandelion. The dandelion is [MASK].	edible	harmful	1
cashew	bitter	smooth	unprocessed	ready	The cashew was unprocessed. The cashew is [MASK].	bitter	smooth	1
dial	right	broken	wearing	repairing	Frankie is wearing his watch. The dial is [MASK].	right	broken	1
measuring cup	circular	heart	basketball	love	The measuring cup reminded Kim of basketball. The measuring cup is [MASK].	circular	heart	1
net	empty	full	disappointed	happy	After leaving his fishing net in the water overnight, the fisherman returned and had a disappointed look on his face when he pulled it out of the water. The net is [MASK].	empty	full	1
handprint	recognizable	alien	home	Mars	Jackie looked at the handprint taken from home. The handprint is [MASK].	recognizable	alien	1
wedding cake	edible	toxic	limo	ambulance	After they ate the cake, the bride and groom left in a limo. The wedding cake is [MASK].	edible	toxic	1
juice	bitter	sweet	lemon	mango	Mike squeezed the juice from a lemon. The juice is [MASK].	bitter	sweet	1
dumpling	edible	inedible	marvelous	stale	Ashley smelled the dumpling in her bowl and it smelled marvelous. The dumpling is [MASK].	edible	inedible	1
diamond	precious	fake	large	small	Tina received a large sum for the diamond. The diamond is [MASK].	precious	fake	1
bottle	open	closed	remained	happened	When Bill knocked over the bottle remained. The bottle is [MASK].	open	closed	1
vegetable	edible	inedible	eaten	discarded	The vegetable should be eaten. The vegetable is [MASK].	edible	inedible	1
snowmobile	new	old	dealer	shop	Brad's snowmobile was just out of the dealer today. The snowmobile is [MASK].	new	old	1
stereo	good	inaudible	electronic	secondhand	Shelly purchased the stereo from the electronic store. The stereo is [MASK].	good	inaudible	1
coat	simple	fancy	bored	impressed	Mike's new coat bored the other party guests. The coat is [MASK].	simple	fancy	1
turkey	edible	rotten	three	ninety	The turkey has been on the counter for three hours. The turkey is [MASK].	edible	rotten	1
orangutan	extinct	alive	quit	exist	Activists for the orangutan quit. The orangutan is [MASK].	extinct	alive	1
glue	liquid	solid	now	yesterday	John glued the pieces together now. The glue is [MASK].	liquid	solid	1
zucchini	edible	toxic	oil	asbestos	The zucchini is covered in oil. The zucchini is [MASK].	edible	toxic	1
bush	dead	thriving	brown	green	The bush in Mike's yard is entirely brown. The bush is [MASK].	dead	thriving	1
skeleton	rigid	mobile	Mean	Flying	The huanted house told stories on a Mean Skelton. The skeleton is [MASK].	rigid	mobile	1
lanyard	gold	red	corn	cherries	The lanyard was the color of corn. The lanyard is [MASK].	gold	red	1
bathtub	small	huge	one	many	Bill's new house had a bathtub made for one. The bathtub is [MASK].	small	huge	1
whiteboard	empty	full	started	finished	The teacher just started the lesson using the whiteboard. The whiteboard is [MASK].	empty	full	1
computer screen	blank	working	dark	glowing	Kevin's computer screen was dark. The computer screen is [MASK].	blank	working	1
abacus	circular	square	architects	mathematicians	The abacus was used by architects. The abacus is [MASK].	circular	square	1
curb	high	small	blocked	undeterred	The boy was running and was blocked by the curb. The curb is [MASK].	high	small	1
chalkboard	empty	full	cleaned	used	I found the chalkboard to be freshly cleaned. The chalkboard is [MASK].	empty	full	1
cream	perfect	separating	new	old	Tina's milk from the store is new. The cream is [MASK].	perfect	separating	1
sunroof	open	closed	felt	avoided	Holly felt the hail while she was driving. The sunroof is [MASK].	open	closed	1
cornmeal	edible	rotten	desert	sick	Mike's family got desert after eating the cornmeal. The cornmeal is [MASK].	edible	rotten	1
bassinet	large	small	Five	Two 	Todd  could fit Five loaves of bread in the bassinet. The bassinet is [MASK].	large	small	1
buoy	empty	full	something	nothing	The buoy has space for something. The buoy is [MASK].	empty	full	1
bowling ball	spherical	crooked	rolled	bounced	The bowling ball rolled down the lane. The bowling ball is [MASK].	spherical	crooked	1
roadsweeper	human	nonsentient	friend	robot	The friend swept the road today. The roadsweeper is [MASK].	human	nonsentient	1
compass	true	off	north	east	Mike tested the compass and found it pointed due north. The compass is [MASK].	true	off	1
loveseat	empty	full	near	on	George is sitting near the loveseat. The loveseat is [MASK].	empty	full	1
pastry	edible	spoiled	delighted	revolted	The chef was delighted by the pastry. The pastry is [MASK].	edible	spoiled	1
shopping basket	empty	filled	finished	continued	Angela finished her shopping trip. The shopping basket is [MASK].	empty	filled	1
bikini	optional	compulsory	nude	covered	The guests were nude at the hot springs. The bikini is [MASK].	optional	compulsory	1
speedometer	accurate	inaccurate	moving	stuck	Adam noticed the speedometer was moving as he increased his speed. The speedometer is [MASK].	accurate	inaccurate	1
breakfast	ready	unprepared	plate	stove	The breakfast was on the plate while max sat a the table. The breakfast is [MASK].	ready	unprepared	1
eggplant	edible	inedible	salt	gravel	The eggplant made had been cooked with salt. The eggplant is [MASK].	edible	inedible	1
stem	smooth	sticky	healed	cut	Stem has been healed. The stem is [MASK].	smooth	sticky	1
blackberry	edible	poison	sugar	cyanide	The blackberry was dusted with sugar. The blackberry is [MASK].	edible	poison	1
jalapeno	extinct	alive	unavailable	available	Jalapenos are unavailable anywhere. The jalapeno is [MASK].	extinct	alive	1
cordon bleu	common	uncommon	easy	difficult	It is very easy to find cordon bleu on a menu in this area. The cordon bleu is [MASK].	common	uncommon	1
door	open	closed	through	into	Mike walked through the door. The door is [MASK].	open	closed	1
jukebox	musical	dissonant	dance	cry	The sound of the jukebox made me want to dance. The jukebox is [MASK].	musical	dissonant	1
table	incomplete	finished	sanding	waxing	Molly is sanding the table. The table is [MASK].	incomplete	finished	1
chalkboard	empty	covered	lifeguard	teacher	The child pretended to be a lifeguard. The chalkboard is [MASK].	empty	covered	1
wagon	empty	stuffed	ease	difficulty	The oxen pulled the wagon with ease. The wagon is [MASK].	empty	stuffed	1
weed	edible	inedible	wonderful	terrible	Adding the weed to her soup gave it a wonderful flavor. The weed is [MASK].	edible	inedible	1
canoe	portable	overbearing	toy	adult	The child attempted to lift the toy canoe. The canoe is [MASK].	portable	overbearing	1
pocket watch	portable	huge	inches	meters	The face of the clock is two inches in diameter. The pocket watch is [MASK].	portable	huge	1
cash register	open	closed	agreed	refused	Nina agreed to give the robber cash from the cash register. The cash register is [MASK].	open	closed	1
cookie	edible	inedible	chocolate	resin	The cookies on display are made out of chocolate. The cookie is [MASK].	edible	inedible	1
cape	long	short	men's	boys'	Don found his cape in the men's section. The cape is [MASK].	long	short	1
tree trunk	straight	curved	Redwood	oak	The tree is a Redwood. The tree trunk is [MASK].	straight	curved	1
denture	straight	smashed	fine	cracked	After a hard fall, Terry looked in the mirror and saw that his denture was fine. The denture is [MASK].	straight	smashed	1
beanbag	portable	unlovable	lift	discard	Margaret's old beanbag was easy to lift. The beanbag is [MASK].	portable	unlovable	1
chessboard	square	round	standard	exotic	Mike bought a standard shaped chessboard. The chessboard is [MASK].	square	round	1
kitten	important	unimportant	love	attacks	Milly's kitten gives all the love when she pets her. The kitten is [MASK].	important	unimportant	1
shelf	stable	loose	good	bad	Mike thought it would be a good idea to stack more goods on this shelf. The shelf is [MASK].	stable	loose	1
blackberry	poisonous	safe	kill	delight	Jane used the blackberry to make a juice that would kill her guests. The blackberry is [MASK].	poisonous	safe	1
sand	soft	hard	smiled	yelped	Jason smiled when his feet touched the sand. The sand is [MASK].	soft	hard	1
folder	empty	filled	nothing	everything	Bill had put nothing in the folder. The folder is [MASK].	empty	filled	1
palm tree	extinct	existing	appalled	relieved	The scientists were appalled about the news for the palm tree. The palm tree is [MASK].	extinct	existing	1
aquarium	empty	overflowing	no	many	Bill saw no fish in the aquarium. The aquarium is [MASK].	empty	overflowing	1
tambourine	wooden	copper	tan	metallic	The man was holding a tan tambourine. The tambourine is [MASK].	wooden	copper	1
silicone	toxic	healthy	warned	calmed	The doctor warned the readers about silicone use. The silicone is [MASK].	toxic	healthy	1
credit card	valid	invalid	accepted	rejected	Joseph's credit card was accepted. The credit card is [MASK].	valid	invalid	1
pretzel	edible	mouldy	fresh	stale	George bought a pretzel and it was fresh. The pretzel is [MASK].	edible	mouldy	1
biscuit	edible	swollen	near	on	Bill cleaned up the water that had spilled near the biscuit. The biscuit is [MASK].	edible	swollen	1
sailboat	unique	boring	interesting	plain	The sailboat we bought is interesting. The sailboat is [MASK].	unique	boring	1
credit card	valid	fake	plastic	paint	Debra's credit card was made of plastic. The credit card is [MASK].	valid	fake	1
tea	hot	frozen	steam	ice	The top of the tea was covered in steam. The tea is [MASK].	hot	frozen	1
ice cube	cold	melted	relieved	disappointed	Janet, hoping her drink was still cold, picked it up and was relieved. The ice cube is [MASK].	cold	melted	1
stump	hollow	dense	bamboo	oak	The stump was made of bamboo. The stump is [MASK].	hollow	dense	1
raft	empty	full	not	already	Mark had not loaded the raft. The raft is [MASK].	empty	full	1
cord	long	small	easily	not	The cord was easily able to reach the plug. The cord is [MASK].	long	small	1
whipped cream	edible	inedible	smooth	curdled	While baking Phil saw that the whipped cream was smooth. The whipped cream is [MASK].	edible	inedible	1
clove	edible	foul	chewy	mushy	The clove was very chewy. The clove is [MASK].	edible	foul	1
cummerbund	long	tiny	fat	thin	The fat man wore the cummerbund. The cummerbund is [MASK].	long	tiny	1
vacuum	real	phony	demonstrations	photographs	The display model vacuum was also used for demonstrations. The vacuum is [MASK].	real	phony	1
stiletto	long	stubby	greatly	barely	Maria's stiletto greatly made her look taller. The stiletto is [MASK].	long	stubby	1
cornhusk	long	truncated	moved	chopped	Diane looked at the cornhusks after she moved them. The cornhusk is [MASK].	long	truncated	1
steak	good	bad	first	last	The steak was chosen first by the experienced chefs. The steak is [MASK].	good	bad	1
arch	round	square	keystone	corners	Mike hung the lights from the keystone of the arch. The arch is [MASK].	round	square	1
coconut	edible	inedible	juice	dirt	Robert cracked open a coconut and juice poured out. The coconut is [MASK].	edible	inedible	1
test tube	cylindrical	cubic	rolled	balanced	The test tubes rolled when put down. The test tube is [MASK].	cylindrical	cubic	1
yo-yo	round	triangular	ease	difficulty	The yo-yo can roll with ease. The yo-yo is [MASK].	round	triangular	1
hedge	long	small	grew	withered	The hedge grew. The hedge is [MASK].	long	small	1
eye	visible	invisible	right	mystic	The guru opened his right eye. The eye is [MASK].	visible	invisible	1
stick	heavy	light	oak	bamboo	The stick is made from oak. The stick is [MASK].	heavy	light	1
sink	open	closed	soap	another	Gretchen went to use the sink in the lobby and had to find soap. The sink is [MASK].	open	closed	1
kitten	important	forgotten	bed	shelter	The kitten is located in the bed. The kitten is [MASK].	important	forgotten	1
patty	edible	inedible	beef	mud	John made a patty from beef. The patty is [MASK].	edible	inedible	1
yo-yo	circular	square	rolled	stacked	The yo-yos rolled easily. The yo-yo is [MASK].	circular	square	1
thread	thin	thick	easy	difficult	The thread was easy to fit through the needle hole. The thread is [MASK].	thin	thick	1
poinsettia	extinct	alive	loss	beauty	Robert commented on the loss of the poinsettia. The poinsettia is [MASK].	extinct	alive	1
wetsuit	optional	compulsory	temperate	freezing	Mike knew that this patch of shallow water was temperate. The wetsuit is [MASK].	optional	compulsory	1
cake mix	simple	complicated	three	twelve	Bob followed all three steps in the cake mix recipe. The cake mix is [MASK].	simple	complicated	1
seaweed	toxic	harmless	sick	fine	Victor felt sick after eating the sushi. The seaweed is [MASK].	toxic	harmless	1
sling	elastic	rigid	cloth	plastic	Darla's sling is made of cloth. The sling is [MASK].	elastic	rigid	1
funnel	round	square	won't	will	A cube won't fit in the funnel. The funnel is [MASK].	round	square	1
potato	edible	growing	ripe	small	The potato was really ripe for cooking. The potato is [MASK].	edible	growing	1
canister	full	barren	bitter	sweet	I needed to add sugar from the canister to make Kool-Aid, and it turned out bitter. The canister is [MASK].	full	barren	1
pastry	delicious	gross	love	hate	I gave her the pastry because I love her. The pastry is [MASK].	delicious	gross	1
chili	hot	chilly	burned	froze	Susan burned her tongue trying to eat the chili. The chili is [MASK].	hot	chilly	1
go-kart	stationary	approaching	Stayed 	Drove	As Mark slammed on the gas the go-kart Stayed  there. The go-kart is [MASK].	stationary	approaching	1
pineapple	edible	unpalatable	enjoyed	detested	Mike enjoyed eating the pineapple. The pineapple is [MASK].	edible	unpalatable	1
clipboard	blank	filled	avoided	finished	Oscar had avoided making his list on his clipboard. The clipboard is [MASK].	blank	filled	1
juice	good	bad	fresh	rank	She poured the fresh juice in a jar. The juice is [MASK].	good	bad	1
bun	round	rectangular	snowball	envelope	The buns resembled a snowball. The bun is [MASK].	round	rectangular	1
dough	thick	skinny	ball	stick	I had to roll the dough into a ball. The dough is [MASK].	thick	skinny	1
wrap	elastic	inflexible	sheet	lid	Donnie put the plastic sheet over the food. The wrap is [MASK].	elastic	inflexible	1
stereo	available	unavailable	blaring	silent	Bill turned on the stereo and it's blaring. The stereo is [MASK].	available	unavailable	1
leg	dead	normal	hanging	attached	Jill's leg was hanging by the limb. The leg is [MASK].	dead	normal	1
cornhusk	long	petite	completely	barely	The cornhusk completely covered the corn. The cornhusk is [MASK].	long	petite	1
hard disk	empty	full	new	used	The hard disk is new. The hard disk is [MASK].	empty	full	1
pulpit	free	occupied	left	entered	The priest left the pulpit. The pulpit is [MASK].	free	occupied	1
spam	anonymous	named	random	politcal	Reading the twitter account the name random in the bio. The spam is [MASK].	anonymous	named	1
exhaust pipe	vertical	curved	low	loud	The low noises was coming from the exhaust pipe. The exhaust pipe is [MASK].	vertical	curved	1
drill	simple	complex	bored	confused	Dina was bored by the drill. The drill is [MASK].	simple	complex	1
fire	there	here	elsewhere	nearby	The fire blazed madly elsewhere. The fire is [MASK].	there	here	1
hubcap	circular	square	matched	differed 	The car's new hubcap matched the shape of the wheel. The hubcap is [MASK].	circular	square	1
hedgehog	edible	inedible	cooked	decomposing	The hedgehog has been cooked. The hedgehog is [MASK].	edible	inedible	1
plaster cast	original	fake	Hard	Soft	Jill's cast felt Hard when she broke her arm. The plaster cast is [MASK].	original	fake	1
baby	healthy	unhealthy	hiccups	mumps	Martina's baby has a case of the hiccups. The baby is [MASK].	healthy	unhealthy	1
dish	edible	rotten	healthy	repulsive	Nick thought today's breakfast healthy. The dish is [MASK].	edible	rotten	1
altar	high	low	stretch	bend	The priest had to stretch to reach the altar. The altar is [MASK].	high	low	1
ice cream	cold	melted	freezer	oven	Mike left the ice cream in the freezer overnight. The ice cream is [MASK].	cold	melted	1
eggshell	transparent	opaque	interior	surface	Mike was able to see the interior of the egg. The eggshell is [MASK].	transparent	opaque	1
spam	harmless	allergen	ordered	avoided	Millie ordered the spam for her allergy-ridden son. The spam is [MASK].	harmless	allergen	1
chute	straight	crooked	aligned	angled	When cleaning the chute, you will need an aligned mop. The chute is [MASK].	straight	crooked	1
pomegranate	edible	inedible	fresh	rotten	I picked up a fresh pomegranate. The pomegranate is [MASK].	edible	inedible	1
beetle	poisonous	non-toxic	antidote	water	Alan was given antidote after being bitten by a beetle. The beetle is [MASK].	poisonous	non-toxic	1
photo booth	empty	full	silent	loud	At the mall, the photo booth was silent. The photo booth is [MASK].	empty	full	1
stew	delicious	revolting	fresh	spoiled	The stew was made from fresh vegetables. The stew is [MASK].	delicious	revolting	1
sloth	edible	inedible	full	nauseous	Jack felt full after eating the roasted sloth. The sloth is [MASK].	edible	inedible	1
latte	hot	chilled	regular	iced	Mary ordered a regular latte. The latte is [MASK].	hot	chilled	1
face	there	missing	drawn	erased	Janet had drawn the face. The face is [MASK].	there	missing	1
tattoo	there	missing	expanded	removed	Esther expanded her tattoo. The tattoo is [MASK].	there	missing	1
lingerie	available	sold	bin	sack	Janet found the lingerie in a bin. The lingerie is [MASK].	available	sold	1
cooker	hot	cold	red	black	The burner under the cooker is red. The cooker is [MASK].	hot	cold	1
razor blade	straight	bent	clean	rough	Billy has a clean shave with his razor this morning. The razor blade is [MASK].	straight	bent	1
chalice	empty	full	all	none	The queen drank all of the wine from the chalice. The chalice is [MASK].	empty	full	1
teabag	empty	filled	lite	heavy	Mike noticed the teabag was very lite. The teabag is [MASK].	empty	filled	1
trophy	empty	full	desk	sea	The trophy was under the desk. The trophy is [MASK].	empty	full	1
girl	dead	healthy	bus	balloon	Susan was hit by a bus. The girl is [MASK].	dead	healthy	1
strawberry	edible	slimy	garden	garbage	John's strawberry is in his garden. The strawberry is [MASK].	edible	slimy	1
satellite dish	circular	triangular	curve	corner	Jane touched the outer curve of the satellite dish. The satellite dish is [MASK].	circular	triangular	1
folder	open	shut	accessed	zipped	Bob's computer folder was accessed. The folder is [MASK].	open	shut	1
backpack	empty	full	light	heavy	Jill's backpack was light. The backpack is [MASK].	empty	full	1
chili	edible	toxic	teaspoon	cup	The chili had a teaspoon of minced Carolina Reapers. The chili is [MASK].	edible	toxic	1
candle	light	heavy	stuck	sank	The candle stuck into the birthday cake. The candle is [MASK].	light	heavy	1
bonnet	long	miniature	cow	duck	The bonnet is made for a cow. The bonnet is [MASK].	long	miniature	1
cheetah	extinct	alive	zero	thousands	There were zero of cheetahs born in the last three decades. The cheetah is [MASK].	extinct	alive	1
makeup	perfect	poor	gorgeous	unalluring	Kerri went to a professional makeup artist and she ended up looking gorgeous. The makeup is [MASK].	perfect	poor	1
mug	cold	hot	fridge 	pot	The coffee poured into the mug was in the fridge . The mug is [MASK].	cold	hot	1
thumbtack	plastic	metal	snapped	bent	Jane pushed the thumbtack too hard and it snapped in half. The thumbtack is [MASK].	plastic	metal	1
aquarium	open	closed	off	on	The lid was off the aquarium. The aquarium is [MASK].	open	closed	1
zucchini	edible	poisonous	healthy	toxic	The chef prepared a healthy zucchini. The zucchini is [MASK].	edible	poisonous	1
roulette wheel	round	angular	standard	strange	Jane couldnt help but notice how standard the roulette wheel looked. The roulette wheel is [MASK].	round	angular	1
crib	empty	full	missing	sleeping	Susan went to get the baby from the crib but found him missing. The crib is [MASK].	empty	full	1
chickpea	extinct	extant	decades	days	Susan had not seen a chickpea in these parts for decades. The chickpea is [MASK].	extinct	extant	1
lumber	valuable	common	expensive	general	The man carefully stored the expensive in the shed. The lumber is [MASK].	valuable	common	1
snail	poisonous	harmless	frightened	interested	When I gave her the snail she was frightened. The snail is [MASK].	poisonous	harmless	1
stingray	poisonous	safe	flee	approach	If you see a stingray, you should flee. The stingray is [MASK].	poisonous	safe	1
neck	long	short	giraffe	boy	Robert is a giraffe. The neck is [MASK].	long	short	1
reel	complete	incomplete	included	missed	The reel included the fishing line. The reel is [MASK].	complete	incomplete	1
